age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
37.0,0,12.0,9,1,9,2,0,1,0,2.0,38.0,1.0,0
7.0,0,11.0,8,1,8,3,0,0,0,3.0,39.0,1.0,0
6.0,0,14.0,9,0,1,2,0,1,0,2.0,34.0,1.0,1
27.0,0,7.0,9,0,12,2,0,1,0,4.0,39.0,0.0,0
14.0,8,6.0,11,1,1,2,0,1,0,0.0,34.0,2.0,0
24.0,0,23.0,9,2,2,3,0,0,0,3.0,37.0,2.0,0
15.0,0,15.0,8,0,3,2,0,1,0,3.0,35.0,2.0,0
20.0,0,6.0,10,0,1,4,1,1,0,0.0,17.0,2.0,1
3.0,0,14.0,8,2,2,5,4,0,0,2.0,36.0,0.0,0
29.0,0,9.0,15,0,4,2,0,1,15,3.0,37.0,1.0,1
12.0,0,10.0,8,5,9,3,0,1,0,2.0,32.0,20.0,0
21.0,0,9.0,9,0,10,2,0,1,0,2.0,58.0,0.0,0
24.0,2,24.0,9,1,4,2,0,1,0,1.0,63.0,2.0,1
29.0,3,4.0,6,2,14,5,0,1,0,1.0,54.0,1.0,1
25.0,0,32.0,12,2,5,1,0,0,0,3.0,37.0,1.0,0
6.0,0,0.0,11,1,2,1,0,0,0,4.0,19.0,1.0,0
12.0,4,25.0,6,2,7,0,0,0,0,1.0,7.0,2.0,1
34.0,0,14.0,8,0,12,3,0,1,0,3.0,51.0,1.0,0
37.0,0,9.0,11,0,4,3,0,1,0,4.0,49.0,1.0,1
19.0,0,21.0,13,2,5,4,0,1,0,3.0,61.0,1.0,0
28.0,5,5.0,9,2,6,5,0,1,0,1.0,79.0,1.0,0
26.0,0,19.0,3,2,6,3,0,0,0,1.0,15.0,1.0,1
33.0,0,2.0,8,2,1,2,0,1,0,2.0,36.0,2.0,0
58.0,0,22.0,10,0,14,3,0,1,0,2.0,43.0,2.0,0
25.0,0,2.0,8,0,12,1,0,1,0,1.0,44.0,0.0,0
23.0,0,7.0,8,0,3,3,0,0,0,3.0,34.0,1.0,0
21.0,0,7.0,3,2,1,1,0,1,0,1.0,18.0,1.0,0
32.0,8,15.0,8,2,4,5,0,0,0,4.0,37.0,2.0,0
8.0,0,6.0,10,4,9,2,0,1,0,4.0,35.0,0.0,0
12.0,8,11.0,10,0,5,2,0,1,5,4.0,61.0,1.0,0
21.0,0,3.0,14,0,5,2,0,1,0,3.0,38.0,2.0,0
11.0,8,34.0,9,2,3,3,4,0,0,2.0,20.0,0.0,0
24.0,0,19.0,12,0,4,2,4,1,0,2.0,50.0,1.0,0
19.0,4,1.0,12,2,8,2,0,1,0,2.0,38.0,0.0,0
50.0,1,1.0,5,2,4,0,2,1,20,4.0,35.0,4.0,1
8.0,0,10.0,6,0,1,3,0,1,0,4.0,67.0,0.0,0
11.0,0,8.0,12,1,5,3,0,1,0,34.0,35.0,2.0,0
2.0,3,7.0,8,1,3,3,0,0,0,2.0,12.0,1.0,1
4.0,8,6.0,8,2,2,5,0,0,0,1.0,38.0,1.0,0
36.0,0,18.0,9,0,1,3,0,1,0,2.0,25.0,1.0,0
8.0,1,13.0,10,1,6,2,0,1,0,2.0,60.0,2.0,0
3.0,0,21.0,9,0,7,2,0,1,0,4.0,39.0,2.0,0
22.0,5,23.0,10,0,9,3,4,1,0,1.0,35.0,1.0,0
27.0,0,15.0,12,0,5,1,0,1,0,1.0,40.0,0.0,1
9.0,0,13.0,8,1,3,3,0,0,0,2.0,36.0,1.0,0
22.0,5,17.0,8,2,6,3,0,1,0,4.0,14.0,1.0,0
38.0,1,9.0,12,2,3,2,0,1,0,2.0,10.0,0.0,0
36.0,6,14.0,12,0,5,1,0,1,0,4.0,53.0,4.0,0
46.0,0,21.0,8,0,5,2,0,1,0,1.0,60.0,0.0,0
8.0,0,10.0,11,0,14,2,0,1,0,3.0,52.0,1.0,0
19.0,0,6.0,8,0,7,2,0,1,4,4.0,36.0,1.0,1
46.0,1,12.0,9,0,8,2,0,1,7,4.0,36.0,1.0,1
30.0,0,15.0,12,1,4,5,0,0,0,4.0,35.0,19.0,0
13.0,0,9.0,9,4,14,1,0,0,0,3.0,36.0,2.0,0
32.0,0,18.0,8,1,1,2,0,1,0,33.0,35.0,1.0,1
19.0,0,7.0,8,1,1,1,0,1,0,4.0,36.0,1.0,0
