Unnamed: 0,Two_yr_Recidivism,Number_of_Priors,score_factor,Age_Above_FourtyFive,Age_Below_TwentyFive,Sex,Misdemeanor,Race
0,0,5.0,0,0,0,1,1,0
1,0,1.0,0,0,0,0,0,0
2,0,15.0,1,0,1,0,1,0
3,0,0.0,0,0,1,0,0,1
4,1,1.0,1,0,0,0,0,1
5,0,13.0,0,0,0,0,0,1
6,1,12.0,1,0,0,0,0,1
7,1,1.0,0,1,0,0,0,1
8,0,1.0,0,1,0,0,0,0
9,0,5.0,0,0,0,0,1,1
10,0,2.0,0,1,0,0,0,1
11,1,3.0,1,0,0,0,1,3
12,1,2.0,0,0,0,0,1,0
13,0,10.0,0,1,0,1,0,1
14,0,1.0,1,0,0,1,0,0
15,0,0.0,0,0,0,1,1,1
16,0,3.0,1,0,1,0,0,1
17,1,23.0,0,1,0,0,0,0
18,1,1.0,1,0,0,0,0,1
19,1,2.0,0,1,0,0,0,0
20,1,1.0,1,1,0,0,0,0
21,1,1.0,0,1,0,0,0,0
22,0,3.0,0,0,0,0,1,2
23,0,1.0,0,0,0,1,0,0
24,0,1.0,1,0,0,1,0,1
25,1,0.0,0,0,0,0,1,0
26,0,4.0,0,0,1,0,0,1
27,1,3.0,0,1,0,0,1,0
28,0,5.0,0,0,1,1,1,1
29,0,3.0,0,0,1,0,1,0
30,0,1.0,0,0,0,0,1,5
31,1,3.0,1,0,0,0,0,0
32,1,9.0,0,0,1,0,0,3
33,1,3.0,1,0,0,0,1,1
34,0,1.0,1,0,0,0,0,1
35,0,2.0,1,0,0,0,0,1
36,1,3.0,0,0,1,1,0,1
37,1,2.0,1,0,0,1,1,1
38,1,1.0,0,1,0,0,1,1
39,0,1.0,1,0,0,0,0,1
40,1,0.0,0,0,0,0,0,3
41,1,3.0,1,0,0,0,0,1
42,0,3.0,1,0,1,0,0,1
43,1,2.0,1,0,0,0,0,5
44,0,15.0,1,0,1,0,1,1
45,1,2.0,1,0,1,1,0,1
46,0,7.0,1,0,0,0,0,0
47,0,1.0,0,0,0,0,0,1
48,0,0.0,0,0,0,1,0,1
49,1,9.0,1,0,1,1,0,1
50,0,3.0,0,0,1,1,1,1
51,0,15.0,0,0,1,0,0,1
52,0,0.0,0,1,0,0,1,0
53,0,4.0,1,0,1,0,0,1
54,1,15.0,1,0,0,1,0,3
55,1,2.0,0,0,0,0,0,1
56,0,0.0,0,0,1,1,1,3
57,1,3.0,0,0,0,0,1,0
58,0,1.0,0,0,0,1,0,0
59,1,1.0,0,0,0,0,0,1
60,1,1.0,0,0,0,0,0,1
61,1,3.0,1,0,1,0,0,1
62,1,19.0,1,0,1,0,1,2
63,1,1.0,1,0,1,1,1,3
64,1,5.0,1,0,0,0,0,0
65,1,1.0,0,0,0,0,0,0
66,0,1.0,1,1,0,0,0,1
67,1,1.0,0,0,0,0,0,0
68,0,1.0,0,1,0,0,0,3
69,1,9.0,1,0,0,0,1,0
70,1,0.0,0,1,0,0,0,1
71,1,0.0,1,0,1,0,0,1
72,1,3.0,0,1,0,0,1,3
73,1,1.0,1,0,0,1,0,0
74,0,1.0,0,0,0,0,0,5
75,1,0.0,1,0,1,0,1,1
76,0,1.0,1,0,0,0,1,0
77,0,2.0,0,0,1,0,0,5
78,1,5.0,0,0,0,0,0,1
79,1,3.0,0,0,0,0,1,0
80,1,10.0,0,0,0,0,0,1
81,1,2.0,0,0,0,0,0,1
82,0,3.0,0,0,0,1,1,1
83,1,1.0,1,0,0,0,0,1
84,0,1.0,1,0,0,0,0,0
85,1,2.0,1,0,0,0,1,1
86,1,1.0,0,0,0,0,1,0
87,1,3.0,0,0,0,0,0,1
88,0,5.0,1,0,0,0,0,1
89,0,1.0,0,1,0,0,0,1
90,1,16.0,1,0,0,0,1,5
91,0,3.0,0,0,1,0,0,1
92,0,8.0,1,0,0,0,1,0
93,1,1.0,0,0,0,0,1,0
94,0,3.0,0,0,0,0,0,1
95,1,2.0,1,0,1,0,0,5
96,0,1.0,1,0,0,1,0,3
97,1,0.0,1,0,0,0,0,1
98,0,3.0,0,1,0,0,0,1
99,0,1.0,0,0,1,0,0,1
100,1,15.0,1,0,0,0,0,1
101,1,5.0,0,0,0,0,1,1
102,0,0.0,0,0,0,0,0,5
103,1,10.0,0,1,0,0,1,0
104,1,0.0,1,0,0,1,0,0
105,1,0.0,1,0,1,0,1,0
106,0,3.0,1,0,0,0,0,1
107,0,1.0,0,0,0,0,0,1
108,0,10.0,1,0,0,0,0,1
109,1,2.0,0,1,0,0,0,3
110,1,7.0,1,0,0,0,0,1
111,0,1.0,0,1,0,0,1,1
112,0,0.0,1,0,0,1,0,0
113,0,3.0,1,0,0,0,0,1
114,0,5.0,0,1,0,0,1,1
115,0,1.0,0,0,1,0,0,1
116,1,1.0,0,1,0,0,1,1
117,1,0.0,0,0,1,0,1,1
118,0,1.0,0,1,0,0,0,0
119,1,8.0,0,0,1,0,1,1
120,0,5.0,0,0,1,1,1,0
121,0,1.0,0,0,0,0,1,5
122,1,4.0,0,1,0,0,1,1
123,0,16.0,0,0,0,1,0,1
124,0,16.0,1,0,0,0,1,1
125,1,0.0,1,0,1,0,0,1
126,0,16.0,1,0,1,0,0,0
127,0,2.0,1,0,0,0,1,3
128,0,4.0,1,0,0,0,1,1
129,0,0.0,0,0,1,1,1,0
130,0,5.0,0,0,0,0,0,1
131,0,2.0,1,0,0,0,1,0
132,1,0.0,0,0,1,0,0,1
133,1,9.0,1,0,0,0,0,0
134,0,0.0,0,0,1,0,1,3
135,1,0.0,0,0,0,0,1,5
136,0,2.0,1,0,1,0,0,1
137,0,1.0,1,0,0,0,0,1
138,0,1.0,0,0,1,0,0,0
139,0,9.0,1,0,1,0,0,1
140,1,1.0,0,1,0,0,1,1
141,0,5.0,0,0,0,0,0,0
142,0,0.0,0,0,0,0,1,1
143,1,7.0,1,1,0,0,0,0
144,0,9.0,0,1,0,1,1,0
145,1,2.0,0,0,1,0,0,0
146,1,1.0,1,0,0,0,0,0
147,0,3.0,0,1,0,0,1,5
148,0,2.0,1,0,0,0,0,0
149,0,0.0,0,1,0,0,0,3
150,0,1.0,1,0,0,0,1,0
151,0,2.0,0,1,0,0,0,1
152,1,0.0,0,0,0,0,0,1
153,0,1.0,1,0,1,0,0,3
154,1,1.0,0,0,0,1,0,0
155,0,2.0,0,1,0,0,0,1
156,0,0.0,0,1,0,0,0,0
157,1,1.0,0,0,0,0,0,1
158,1,4.0,1,0,0,0,0,1
159,1,0.0,1,0,1,1,1,0
160,0,1.0,0,0,1,0,1,1
161,0,1.0,1,0,0,0,0,1
162,0,11.0,0,0,0,0,1,5
163,0,1.0,0,1,0,0,1,0
164,0,2.0,0,1,0,0,1,0
165,0,2.0,0,1,0,0,1,1
166,0,1.0,0,0,0,1,1,1
167,0,0.0,0,0,0,0,1,0
168,0,3.0,0,0,1,0,0,0
169,0,0.0,1,0,0,0,1,0
170,0,1.0,1,0,0,1,1,1
171,0,1.0,0,0,1,0,1,3
172,1,2.0,0,0,0,0,0,1
173,0,2.0,1,0,1,1,0,3
174,0,0.0,0,1,0,0,1,3
175,1,3.0,1,0,1,0,0,0
176,1,22.0,0,0,0,0,0,3
177,0,1.0,0,1,0,1,1,0
178,0,1.0,1,0,0,0,0,1
179,0,2.0,1,0,0,1,1,1
180,0,1.0,1,0,0,0,0,0
181,1,1.0,0,0,1,0,0,1
182,1,7.0,1,0,0,1,0,0
183,0,13.0,0,0,0,0,0,0
184,0,9.0,1,1,0,1,0,1
185,0,3.0,1,0,1,0,0,0
186,1,0.0,0,0,0,0,1,0
187,1,0.0,1,0,1,0,0,0
188,0,4.0,0,0,0,0,1,3
189,1,2.0,0,0,1,1,0,1
190,0,1.0,1,0,1,0,0,0
191,1,2.0,1,0,0,0,1,0
192,0,2.0,0,0,0,0,1,0
193,1,3.0,1,1,0,0,1,1
194,0,1.0,0,0,0,0,0,1
