age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
19.0,1,2.0,8,2,4,1,1,1,0,2.0,52.0,1.0,0
66.0,1,50.0,14,0,3,2,0,1,99,3.0,53.0,1.0,1
10.0,0,9.0,9,2,4,3,0,1,0,2.0,15.0,1.0,0
42.0,0,17.0,13,1,14,5,0,0,0,4.0,63.0,0.0,1
47.0,0,21.0,5,0,10,2,0,1,0,0.0,39.0,2.0,0
21.0,1,3.0,13,0,9,2,0,1,0,3.0,37.0,2.0,1
44.0,0,20.0,8,2,4,1,4,1,0,3.0,35.0,2.0,0
35.0,0,11.0,8,0,7,2,0,1,0,0.0,61.0,2.0,1
36.0,0,9.0,8,5,1,3,0,0,0,2.0,36.0,23.0,0
36.0,5,29.0,0,2,8,3,0,1,0,3.0,37.0,1.0,0
48.0,8,1.0,3,2,2,3,0,1,0,2.0,37.0,1.0,0
14.0,0,14.0,12,0,1,2,0,1,0,2.0,38.0,0.0,0
9.0,0,59.0,2,2,5,1,0,0,0,1.0,14.0,2.0,0
73.0,5,54.0,9,2,3,1,0,0,1,40.0,35.0,13.0,0
14.0,0,2.0,1,2,14,4,0,0,0,3.0,37.0,1.0,0
6.0,5,15.0,8,0,12,2,0,1,0,4.0,39.0,1.0,0
23.0,1,5.0,8,0,5,2,0,1,0,1.0,26.0,2.0,1
41.0,1,19.0,3,0,1,2,3,1,0,3.0,41.0,1.0,0
40.0,0,14.0,8,0,4,2,0,1,0,4.0,35.0,1.0,0
4.0,0,16.0,6,2,2,1,4,1,0,3.0,17.0,1.0,0
6.0,0,5.0,12,0,5,2,0,1,0,1.0,35.0,36.0,0
26.0,0,29.0,9,0,5,2,0,1,0,1.0,49.0,1.0,1
19.0,2,2.0,12,1,14,5,0,0,0,2.0,12.0,2.0,0
22.0,5,27.0,3,0,1,2,0,1,0,2.0,53.0,2.0,1
32.0,2,7.0,9,1,8,3,0,1,0,1.0,44.0,0.0,0
42.0,0,7.0,9,2,2,1,0,0,0,3.0,20.0,1.0,0
17.0,0,2.0,12,0,5,2,0,1,0,1.0,43.0,1.0,0
18.0,8,20.0,0,0,4,2,4,1,99,4.0,22.0,20.0,0
12.0,0,21.0,12,0,3,0,0,0,0,4.0,35.0,0.0,1
15.0,7,6.0,6,0,3,2,0,1,6,4.0,51.0,1.0,1
14.0,0,13.0,9,2,4,1,4,1,0,3.0,38.0,2.0,0
44.0,1,14.0,5,0,7,2,4,1,0,2.0,64.0,0.0,0
24.0,0,4.0,8,0,4,2,0,1,0,2.0,35.0,1.0,0
29.0,2,6.0,9,0,5,2,0,1,0,2.0,38.0,0.0,0
7.0,0,10.0,4,0,6,2,0,1,0,4.0,39.0,0.0,1
27.0,0,20.0,8,0,8,0,0,0,0,4.0,33.0,0.0,0
18.0,0,32.0,5,1,4,1,0,1,0,4.0,25.0,0.0,0
13.0,0,17.0,8,0,1,2,0,1,0,2.0,51.0,1.0,1
30.0,0,6.0,12,0,12,2,0,1,0,1.0,38.0,19.0,1
3.0,8,13.0,4,2,3,1,4,1,0,2.0,35.0,1.0,0
23.0,0,8.0,9,0,3,2,0,1,0,2.0,1.0,2.0,0
58.0,0,6.0,9,2,8,3,0,1,3,4.0,19.0,2.0,0
19.0,0,8.0,9,1,8,5,4,0,0,1.0,54.0,1.0,0
31.0,0,10.0,8,2,8,5,0,0,0,1.0,21.0,0.0,0
20.0,3,18.0,12,4,1,3,0,0,0,2.0,36.0,1.0,0
19.0,0,7.0,8,2,3,3,0,0,0,4.0,34.0,1.0,0
5.0,0,14.0,8,5,14,3,0,1,0,2.0,69.0,0.0,1
29.0,0,19.0,9,0,7,2,0,1,0,4.0,38.0,0.0,1
27.0,0,11.0,8,0,1,2,2,1,0,1.0,55.0,0.0,0
15.0,0,5.0,9,1,7,3,0,1,0,3.0,33.0,1.0,0
22.0,0,11.0,8,2,4,3,0,1,0,4.0,2.0,1.0,0
46.0,0,2.0,12,0,0,2,0,1,0,34.0,36.0,1.0,1
27.0,0,10.0,8,1,10,5,4,0,0,38.0,35.0,40.0,0
24.0,0,13.0,8,2,4,3,0,1,0,3.0,51.0,2.0,0
17.0,3,8.0,8,0,3,2,0,1,0,2.0,35.0,1.0,1
23.0,0,7.0,11,1,5,5,0,0,0,4.0,17.0,1.0,0
12.0,0,7.0,12,1,4,3,0,0,0,1.0,61.0,2.0,0
43.0,1,9.0,13,0,3,2,0,1,0,2.0,54.0,0.0,1
22.0,0,0.0,5,2,4,3,0,0,0,2.0,16.0,1.0,0
32.0,1,8.0,9,0,1,2,0,1,0,4.0,52.0,1.0,1
15.0,2,15.0,12,0,2,2,0,1,0,2.0,58.0,1.0,1
72.0,0,12.0,9,0,7,2,0,1,0,3.0,53.0,1.0,1
45.0,0,8.0,8,0,3,2,0,1,0,3.0,42.0,2.0,0
14.0,0,13.0,8,0,1,2,0,1,0,1.0,38.0,2.0,0
21.0,4,15.0,10,0,1,2,0,1,0,2.0,48.0,2.0,0
10.0,0,10.0,8,0,1,2,0,1,0,3.0,36.0,1.0,0
14.0,0,9.0,13,2,5,3,4,1,0,4.0,76.0,0.0,0
10.0,2,7.0,11,0,5,2,0,1,0,3.0,52.0,1.0,1
25.0,1,13.0,13,4,14,3,0,0,0,38.0,37.0,1.0,0
46.0,8,34.0,4,2,6,3,3,0,5,1.0,40.0,2.0,1
13.0,0,22.0,8,2,14,4,0,0,0,3.0,38.0,37.0,0
42.0,0,29.0,9,0,7,2,0,1,4,3.0,40.0,0.0,1
14.0,3,12.0,8,2,8,3,0,1,0,3.0,43.0,37.0,0
3.0,0,22.0,8,1,8,3,4,0,0,1.0,6.0,1.0,0
14.0,0,6.0,8,0,10,2,0,1,0,0.0,38.0,1.0,0
23.0,0,13.0,11,0,5,2,0,1,0,3.0,39.0,1.0,1
4.0,0,18.0,8,0,1,2,0,1,0,2.0,36.0,2.0,1
15.0,0,23.0,8,2,4,3,0,0,0,2.0,33.0,1.0,0
45.0,0,14.0,8,0,5,2,0,1,0,4.0,39.0,1.0,1
33.0,0,28.0,8,0,12,2,0,1,0,28.0,49.0,0.0,0
26.0,2,26.0,12,0,5,0,0,0,0,1.0,42.0,1.0,1
23.0,0,12.0,9,0,3,2,0,1,0,0.0,42.0,1.0,1
14.0,0,14.0,11,2,4,3,0,0,0,2.0,35.0,2.0,0
32.0,4,12.0,12,4,11,3,0,1,0,2.0,26.0,2.0,0
4.0,1,20.0,14,1,0,5,0,0,7,1.0,42.0,1.0,1
35.0,0,17.0,8,2,9,1,0,0,0,2.0,6.0,0.0,0
26.0,4,13.0,12,0,5,2,0,1,0,3.0,36.0,1.0,1
8.0,8,10.0,8,0,8,0,0,0,0,3.0,36.0,1.0,0
15.0,1,11.0,4,0,7,2,0,1,0,27.0,37.0,2.0,0
14.0,0,14.0,9,2,12,1,0,0,0,3.0,35.0,16.0,0
48.0,8,8.0,10,0,4,2,0,1,0,1.0,35.0,2.0,0
14.0,0,11.0,12,0,0,2,0,1,0,4.0,37.0,2.0,0
39.0,1,11.0,8,1,8,5,0,1,0,4.0,32.0,2.0,0
14.0,0,24.0,9,2,5,3,0,0,0,1.0,37.0,2.0,0
30.0,0,16.0,9,2,6,3,1,0,0,4.0,33.0,0.0,0
15.0,0,19.0,12,1,2,5,0,0,0,2.0,39.0,1.0,0
22.0,1,27.0,9,0,8,0,4,0,0,1.0,35.0,2.0,0
12.0,0,11.0,12,0,1,2,0,1,0,2.0,35.0,1.0,0
11.0,0,17.0,8,0,0,2,4,1,0,4.0,39.0,1.0,0
28.0,0,8.0,9,2,8,3,0,0,0,1.0,38.0,0.0,0
11.0,0,24.0,7,0,1,2,0,1,0,3.0,54.0,2.0,1
22.0,5,16.0,9,0,10,2,0,1,0,1.0,46.0,0.0,0
6.0,0,19.0,9,0,6,2,4,1,0,3.0,8.0,2.0,0
44.0,5,58.0,4,5,11,3,0,0,1,45.0,87.0,21.0,1
9.0,0,7.0,13,0,2,2,0,1,0,3.0,39.0,1.0,1
16.0,0,8.0,9,0,5,2,0,1,0,4.0,37.0,0.0,1
15.0,0,10.0,8,2,1,3,0,1,0,3.0,32.0,0.0,0
13.0,0,8.0,12,0,4,2,0,1,0,4.0,37.0,0.0,0
40.0,0,5.0,8,3,5,3,0,1,0,3.0,36.0,1.0,0
23.0,4,7.0,8,2,6,4,0,1,0,4.0,36.0,19.0,0
27.0,2,11.0,8,2,2,4,4,0,0,84.0,15.0,1.0,0
29.0,0,14.0,9,0,5,2,0,1,0,1.0,39.0,0.0,1
16.0,0,15.0,8,0,4,2,0,1,0,4.0,37.0,0.0,1
7.0,0,1.0,8,2,3,3,0,1,0,4.0,36.0,1.0,0
37.0,5,14.0,12,0,1,2,0,1,0,2.0,57.0,1.0,0
