Unnamed: 0,Two_yr_Recidivism,Number_of_Priors,score_factor,Age_Above_FourtyFive,Age_Below_TwentyFive,Sex,Misdemeanor,Race
0,1,1.0,0,0,0,0,0,1
1,1,21.0,1,0,1,0,0,3
2,1,2.0,1,0,0,0,0,1
3,1,0.0,1,0,0,0,1,1
4,0,3.0,0,0,0,0,0,5
5,1,2.0,1,0,1,0,1,1
6,0,5.0,0,0,0,1,0,1
7,1,2.0,1,0,0,0,1,0
8,1,1.0,0,0,0,0,1,1
9,0,1.0,1,1,0,0,0,1
10,1,3.0,0,0,0,0,0,1
11,0,1.0,0,1,0,1,1,1
12,1,2.0,1,0,1,0,0,1
13,1,1.0,1,0,0,0,0,0
14,0,5.0,1,1,0,1,0,0
15,0,0.0,0,0,0,0,0,0
16,0,2.0,1,1,0,0,0,1
17,1,9.0,1,0,0,0,0,1
18,1,1.0,1,0,0,0,0,1
19,1,14.0,1,0,0,1,0,1
20,1,8.0,0,0,0,0,1,0
21,1,1.0,0,0,0,0,1,1
22,0,2.0,0,1,0,0,1,0
23,1,1.0,0,0,0,0,1,3
24,0,1.0,0,0,0,1,1,1
25,1,0.0,0,0,0,0,0,0
26,0,1.0,0,1,0,0,0,1
27,1,1.0,0,0,0,1,0,0
28,0,3.0,0,0,0,0,0,0
29,0,2.0,1,0,1,0,1,1
30,0,3.0,0,0,0,0,0,1
31,1,12.0,0,0,0,0,0,0
32,0,0.0,0,0,0,0,0,0
33,1,5.0,1,0,0,0,0,1
34,0,8.0,0,1,0,0,1,5
35,1,2.0,0,1,0,0,1,0
36,1,5.0,1,0,0,1,0,1
37,1,11.0,1,0,1,1,0,1
38,1,1.0,0,0,0,0,0,1
39,1,3.0,1,0,0,0,0,1
40,0,0.0,1,0,0,1,1,1
41,0,1.0,0,1,0,0,0,1
42,1,12.0,1,0,1,1,0,1
43,0,0.0,1,0,1,0,0,1
44,1,1.0,1,0,0,0,0,1
45,1,3.0,0,0,0,0,0,0
46,0,9.0,1,0,0,1,0,0
47,0,8.0,0,0,1,0,0,1
48,0,2.0,1,0,1,0,0,1
49,0,2.0,1,0,1,0,0,0
50,1,3.0,1,1,0,0,0,0
51,0,1.0,0,1,0,0,0,1
52,1,0.0,0,0,1,0,0,1
53,0,1.0,0,0,0,0,0,2
54,0,1.0,1,1,0,1,0,1
55,0,5.0,0,0,0,0,0,0
56,1,2.0,1,0,1,0,0,3
57,0,1.0,0,1,0,0,0,0
58,0,5.0,0,0,0,0,0,1
59,0,1.0,0,0,0,0,0,1
60,0,1.0,0,0,0,0,0,5
61,0,1.0,1,1,0,0,0,0
62,1,9.0,1,0,0,1,0,0
63,0,1.0,0,0,0,1,1,1
64,0,12.0,0,0,0,0,1,0
65,0,13.0,1,0,0,0,1,0
66,1,12.0,1,0,1,0,0,0
67,0,1.0,0,0,1,0,0,0
68,1,1.0,1,0,0,0,0,1
69,0,2.0,0,0,0,1,0,0
70,1,0.0,1,0,0,0,0,0
71,0,0.0,0,0,0,0,1,5
72,1,1.0,0,1,0,0,0,1
73,1,17.0,1,0,0,1,0,1
74,1,8.0,1,0,0,0,0,0
75,0,14.0,0,0,0,0,1,0
76,0,1.0,0,1,0,0,1,0
77,0,7.0,1,0,0,1,0,1
78,0,3.0,0,0,0,0,0,0
79,0,7.0,0,0,0,0,0,0
80,0,2.0,0,1,0,1,0,1
81,0,2.0,0,0,0,1,0,0
82,0,3.0,0,0,0,0,1,1
83,1,4.0,1,0,1,1,0,0
84,1,6.0,1,0,1,0,1,1
85,0,0.0,0,0,1,1,1,1
86,0,10.0,0,0,0,0,1,0
87,0,3.0,0,1,0,0,0,0
88,1,16.0,1,0,1,1,0,1
89,1,8.0,1,1,0,0,0,1
90,0,2.0,0,1,0,0,0,0
91,1,3.0,1,0,1,0,1,3
92,0,1.0,0,1,0,1,1,0
93,1,1.0,1,0,0,0,0,2
94,0,3.0,0,0,0,0,0,3
95,0,16.0,0,0,0,0,0,1
96,1,10.0,1,0,1,0,0,1
97,0,0.0,0,0,1,0,1,1
98,1,3.0,1,0,0,1,1,0
99,0,1.0,0,1,0,1,0,5
100,1,1.0,0,0,0,0,1,1
101,0,3.0,0,0,0,0,0,5
102,1,2.0,1,0,0,0,0,1
103,1,1.0,0,0,0,0,0,0
104,0,5.0,0,1,0,0,0,1
105,1,16.0,0,0,1,0,0,5
106,1,1.0,1,0,1,0,0,0
107,1,1.0,0,0,0,0,0,0
108,0,1.0,1,0,1,1,0,1
109,1,2.0,1,0,0,1,0,1
110,0,4.0,0,0,0,0,0,3
