Two_yr_Recidivism,Number_of_Priors,score_factor,Age_Above_FourtyFive,Age_Below_TwentyFive,Sex,Misdemeanor,Race
0,1.0,0,1,0,0,0,1
0,1.0,0,0,0,0,0,5
0,11.0,1,0,0,0,0,1
0,0.0,1,0,0,0,1,0
1,1.0,1,0,1,0,0,1
1,15.0,1,0,0,0,1,1
1,5.0,0,0,1,0,0,0
1,1.0,1,0,1,1,0,1
0,11.0,0,0,0,1,1,1
1,1.0,0,0,0,0,1,0
1,10.0,0,0,0,0,0,0
1,3.0,0,1,0,0,0,0
0,0.0,1,0,1,0,0,0
0,1.0,0,0,1,1,1,0
1,12.0,0,1,0,0,1,0
0,0.0,0,0,0,0,1,0
0,2.0,0,0,0,0,0,1
1,3.0,0,0,0,1,1,0
0,1.0,0,0,0,0,0,0
0,9.0,0,0,1,1,0,1
1,27.0,0,0,0,1,1,0
0,15.0,0,0,0,0,0,1
0,19.0,1,0,1,0,1,0
1,1.0,1,1,0,0,0,1
1,11.0,1,0,0,0,1,3
1,0.0,0,1,0,0,0,0
1,1.0,1,1,0,0,0,1
0,1.0,1,0,1,1,1,3
1,2.0,0,1,0,0,0,1
0,2.0,1,0,0,0,0,1
0,3.0,0,0,0,0,1,1
1,2.0,0,1,0,0,1,1
0,0.0,1,0,1,0,0,0
1,5.0,0,0,0,0,1,1
1,4.0,0,0,0,0,1,1
0,0.0,1,0,0,0,0,1
0,1.0,1,0,1,0,0,1
0,2.0,0,0,1,0,1,1
0,3.0,0,0,0,1,1,0
0,5.0,1,0,0,0,0,3
1,9.0,0,0,0,0,0,0
1,1.0,0,0,0,0,1,1
0,3.0,0,1,0,0,1,1
1,0.0,1,0,1,0,0,0
0,2.0,0,0,0,0,0,0
1,2.0,1,0,0,0,1,1
0,2.0,1,0,1,0,0,0
1,3.0,1,0,0,0,0,0
1,0.0,0,0,0,0,0,1
0,2.0,1,0,0,0,0,1
1,5.0,0,0,0,0,1,1
0,1.0,0,0,1,0,0,4
0,2.0,0,0,0,1,1,0
1,1.0,1,0,0,0,0,0
1,3.0,1,1,0,0,1,0
0,16.0,1,0,0,0,0,5
0,4.0,0,0,0,0,0,0
1,1.0,0,0,0,0,1,1
0,1.0,1,0,0,0,0,1
1,1.0,1,0,0,0,0,1
1,7.0,1,0,0,0,0,1
0,3.0,0,1,0,0,0,5
