Unnamed: 0,Two_yr_Recidivism,Number_of_Priors,score_factor,Age_Above_FourtyFive,Age_Below_TwentyFive,Sex,Misdemeanor,Race
0,0,5.0,1,0,0,1,1,1
1,0,1.0,1,0,0,0,0,0
2,0,4.0,0,0,1,1,1,3
3,0,0.0,1,0,0,0,0,0
4,0,3.0,0,0,1,0,0,0
5,0,8.0,0,0,0,0,0,5
6,0,5.0,0,0,1,0,0,1
7,1,1.0,1,1,0,0,0,3
8,1,1.0,0,1,0,0,0,0
9,0,8.0,0,0,0,1,1,1
10,0,2.0,0,1,0,0,0,2
11,0,1.0,1,0,1,0,1,1
12,0,4.0,1,0,0,0,1,1
13,0,8.0,1,1,0,0,0,1
14,1,6.0,0,0,0,0,0,0
15,0,7.0,1,0,0,0,1,0
16,0,3.0,1,0,1,0,0,1
17,0,33.0,0,1,0,0,0,5
18,1,5.0,0,0,0,0,0,1
19,1,3.0,0,1,0,1,0,0
20,0,1.0,0,1,0,0,0,0
21,0,1.0,0,1,0,0,0,0
22,1,2.0,0,0,0,0,1,1
23,1,1.0,0,0,0,0,0,3
24,1,1.0,1,0,1,0,0,1
25,1,2.0,0,0,0,0,1,0
26,1,11.0,0,0,0,0,0,1
27,0,1.0,0,1,0,1,1,5
28,0,2.0,0,0,0,0,1,1
29,1,2.0,0,0,0,1,1,1
30,0,8.0,0,0,0,0,1,0
31,0,5.0,0,0,0,0,0,1
32,1,0.0,1,0,0,0,0,1
33,0,1.0,0,0,0,0,1,1
34,0,8.0,0,0,1,0,0,0
35,1,0.0,0,0,1,0,0,1
36,1,14.0,0,0,0,0,0,0
37,0,1.0,1,0,0,1,1,0
38,0,1.0,0,1,0,0,1,1
39,0,8.0,0,0,1,1,0,1
40,0,0.0,0,0,0,0,0,5
41,0,1.0,1,0,1,0,0,1
42,0,2.0,0,0,1,0,0,1
43,0,0.0,0,0,0,1,0,1
44,0,1.0,0,0,1,0,1,1
45,1,3.0,0,0,0,0,0,0
46,1,0.0,1,0,1,0,0,5
47,1,1.0,0,0,0,0,0,0
48,1,7.0,1,0,0,1,0,0
49,1,5.0,1,0,1,0,0,3
50,0,1.0,0,0,0,1,1,1
51,1,3.0,1,0,0,0,0,0
52,0,0.0,0,1,0,1,1,0
53,0,11.0,0,0,0,0,0,0
54,0,11.0,1,0,1,0,0,1
55,0,2.0,1,0,0,0,0,1
56,0,7.0,0,0,0,0,1,1
57,1,1.0,0,0,0,0,1,1
58,0,1.0,1,0,0,1,0,0
59,1,1.0,1,0,0,1,0,1
60,0,1.0,0,0,0,0,0,3
61,0,8.0,1,0,1,0,0,1
62,0,2.0,0,0,1,0,1,1
63,0,5.0,0,0,1,0,1,3
64,1,19.0,0,0,0,0,0,0
