Unnamed: 0,Two_yr_Recidivism,Number_of_Priors,score_factor,Age_Above_FourtyFive,Age_Below_TwentyFive,Sex,Misdemeanor,Race
0,1,3.0,1,1,0,0,1,0
1,1,1.0,0,1,0,0,0,1
2,0,1.0,0,1,0,0,1,3
3,0,0.0,0,0,0,0,0,0
4,1,1.0,1,0,0,0,0,1
5,0,1.0,1,0,1,0,0,1
6,0,3.0,1,1,0,0,0,1
7,1,6.0,0,0,0,1,1,0
8,0,1.0,0,1,0,1,0,0
9,0,22.0,1,1,0,0,1,0
10,1,3.0,0,0,0,0,1,1
11,0,1.0,0,0,0,0,1,0
12,0,0.0,1,0,0,0,0,1
13,1,1.0,1,0,0,1,0,1
14,1,1.0,0,0,0,0,1,1
15,0,0.0,0,0,0,0,0,5
16,1,2.0,1,0,0,0,0,1
17,0,2.0,1,1,0,1,1,0
18,0,1.0,0,0,0,0,1,0
19,0,2.0,0,0,0,1,0,0
20,1,9.0,1,0,0,1,0,1
21,0,22.0,1,1,0,0,0,1
22,1,2.0,1,0,0,0,0,1
23,0,3.0,0,1,0,0,1,0
24,1,4.0,0,0,1,0,0,0
25,0,11.0,0,0,0,0,1,1
26,0,1.0,0,0,0,0,1,0
27,0,1.0,0,1,0,1,0,5
28,0,2.0,0,0,0,0,1,1
29,0,2.0,1,1,0,0,0,1
30,0,1.0,1,1,0,0,0,0
31,0,3.0,0,0,0,0,1,1
32,1,0.0,0,0,0,0,0,1
33,0,21.0,0,0,0,0,0,1
34,1,1.0,0,0,1,0,0,0
35,0,0.0,1,0,0,0,1,1
36,1,10.0,0,0,0,0,0,3
37,1,6.0,1,1,0,0,0,0
38,1,5.0,1,0,0,1,0,0
39,1,1.0,1,0,0,0,0,1
40,0,0.0,0,0,0,0,0,3
41,0,3.0,1,0,0,0,0,1
42,1,2.0,1,0,0,0,1,3
43,0,0.0,1,0,0,0,0,1
44,1,1.0,1,0,0,0,0,1
45,1,9.0,0,1,1,0,0,0
46,1,6.0,1,0,1,0,0,0
47,0,13.0,1,0,0,0,0,1
48,0,2.0,0,1,0,0,1,0
49,1,3.0,0,0,0,0,0,0
50,0,3.0,1,1,0,0,0,1
51,0,1.0,1,0,0,0,0,3
52,0,0.0,1,0,1,1,0,1
53,0,1.0,0,0,1,0,0,0
54,1,1.0,1,0,0,0,1,1
55,1,2.0,1,0,0,0,1,1
56,1,0.0,0,0,0,0,0,0
57,0,4.0,0,1,0,0,0,0
58,0,1.0,0,0,0,0,0,0
59,0,18.0,0,0,0,0,0,1
60,1,1.0,0,1,0,0,1,3
61,1,3.0,1,0,0,0,1,1
62,0,2.0,0,1,1,0,0,1
