age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
15.0,0,12.0,6,6,1,0,0,0,0,2.0,38.0,1.0,0
33.0,0,6.0,9,0,7,2,0,1,0,3.0,44.0,1.0,0
24.0,0,19.0,9,2,8,3,4,0,0,2.0,34.0,1.0,0
35.0,0,22.0,8,1,6,3,3,1,0,4.0,39.0,19.0,0
43.0,0,6.0,13,0,10,2,0,1,0,0.0,34.0,2.0,0
24.0,0,13.0,8,1,8,3,0,1,0,34.0,37.0,2.0,0
15.0,0,15.0,10,3,8,3,0,1,0,3.0,35.0,2.0,0
6.0,0,1.0,5,0,4,2,0,1,0,0.0,56.0,2.0,1
32.0,0,9.0,10,0,5,2,0,1,0,2.0,66.0,0.0,1
3.0,0,14.0,8,2,3,1,0,1,0,3.0,37.0,1.0,1
44.0,0,20.0,8,0,1,0,4,0,3,2.0,46.0,1.0,0
47.0,5,14.0,8,1,5,5,0,0,7,2.0,38.0,0.0,0
9.0,1,39.0,12,2,8,3,0,0,0,1.0,38.0,2.0,0
7.0,8,19.0,9,2,4,1,4,1,0,1.0,59.0,25.0,1
14.0,0,12.0,9,2,1,1,0,1,0,3.0,17.0,1.0,0
6.0,0,0.0,9,2,5,3,0,0,0,4.0,19.0,1.0,1
15.0,8,15.0,8,2,2,3,0,1,0,1.0,7.0,14.0,1
16.0,0,4.0,5,2,8,3,2,1,0,3.0,51.0,1.0,0
30.0,0,4.0,10,1,3,3,0,0,0,4.0,44.0,1.0,0
26.0,0,16.0,2,0,8,2,0,1,0,3.0,51.0,1.0,0
2.0,5,5.0,3,3,7,2,0,1,27,36.0,70.0,1.0,0
18.0,1,29.0,12,2,4,3,2,1,0,1.0,49.0,1.0,0
30.0,0,12.0,12,0,14,2,1,1,2,2.0,36.0,12.0,1
14.0,0,13.0,12,0,8,2,4,1,0,2.0,48.0,2.0,0
3.0,8,22.0,8,2,3,1,4,1,0,1.0,24.0,17.0,1
9.0,0,12.0,13,2,12,3,0,0,0,3.0,34.0,1.0,0
39.0,0,2.0,12,4,3,3,0,0,0,1.0,28.0,1.0,0
7.0,3,20.0,9,2,1,3,0,0,0,4.0,61.0,2.0,0
26.0,0,11.0,12,0,3,0,0,0,0,4.0,35.0,0.0,0
12.0,0,1.0,8,2,8,3,0,0,3,4.0,36.0,1.0,0
25.0,0,8.0,6,1,5,5,0,0,0,11.0,38.0,2.0,0
52.0,0,9.0,9,1,5,3,3,0,0,2.0,40.0,33.0,0
35.0,0,4.0,11,0,9,2,0,1,0,2.0,35.0,1.0,0
40.0,3,11.0,10,1,0,4,0,1,0,2.0,38.0,2.0,1
18.0,1,1.0,8,0,5,2,0,1,0,4.0,5.0,0.0,0
1.0,0,5.0,12,2,2,1,0,1,0,4.0,38.0,0.0,0
33.0,4,3.0,14,4,1,3,0,1,0,4.0,35.0,0.0,0
24.0,0,2.0,4,2,4,5,0,0,0,2.0,36.0,1.0,0
22.0,1,16.0,9,0,5,2,0,1,99,1.0,62.0,1.0,0
29.0,0,3.0,10,2,3,3,0,0,0,2.0,35.0,1.0,0
16.0,0,18.0,8,2,1,3,0,1,0,2.0,36.0,41.0,0
25.0,8,11.0,6,0,1,2,0,1,0,35.0,39.0,32.0,0
33.0,0,3.0,9,0,8,2,0,1,0,1.0,35.0,1.0,0
24.0,0,15.0,8,2,3,3,4,1,0,1.0,16.0,0.0,0
6.0,0,18.0,10,2,5,1,0,1,0,2.0,36.0,1.0,0
4.0,0,12.0,13,2,1,3,0,0,0,30.0,39.0,13.0,0
5.0,0,4.0,9,2,2,3,0,1,0,2.0,34.0,0.0,0
51.0,1,19.0,12,4,4,5,4,0,0,4.0,28.0,0.0,0
16.0,0,11.0,11,0,7,2,0,1,0,1.0,36.0,0.0,0
23.0,0,10.0,8,0,8,2,3,1,0,3.0,38.0,7.0,0
8.0,0,1.0,10,2,14,5,1,1,0,4.0,36.0,7.0,1
3.0,0,17.0,12,2,7,1,0,1,0,4.0,36.0,1.0,1
34.0,0,15.0,13,0,4,2,0,1,15,4.0,79.0,1.0,1
35.0,4,18.0,8,1,0,3,0,0,0,3.0,21.0,2.0,0
17.0,0,18.0,13,2,3,3,1,1,0,2.0,30.0,40.0,0
23.0,4,17.0,11,2,9,3,0,0,0,4.0,26.0,1.0,0
5.0,0,2.0,8,0,4,2,4,1,0,1.0,36.0,2.0,0
18.0,0,14.0,13,2,5,5,0,0,0,2.0,39.0,0.0,0
36.0,0,10.0,7,3,1,3,3,1,0,2.0,36.0,3.0,0
7.0,0,13.0,10,2,1,3,0,1,0,4.0,37.0,1.0,0
30.0,0,10.0,12,0,1,2,0,1,0,2.0,28.0,1.0,0
7.0,8,12.0,14,2,8,1,0,1,0,3.0,23.0,5.0,0
34.0,0,8.0,11,1,7,3,0,1,0,3.0,37.0,2.0,1
18.0,0,13.0,9,0,11,2,0,1,0,1.0,28.0,2.0,0
25.0,4,15.0,12,0,10,2,0,1,6,2.0,33.0,2.0,0
10.0,0,10.0,8,2,4,1,0,1,0,3.0,36.0,1.0,1
32.0,0,14.0,8,0,8,2,0,1,0,4.0,52.0,0.0,0
17.0,5,7.0,4,3,3,3,3,0,0,3.0,22.0,40.0,0
51.0,2,4.0,9,4,5,4,4,0,0,3.0,52.0,1.0,0
9.0,0,29.0,9,2,5,3,0,1,0,1.0,20.0,2.0,0
5.0,2,22.0,12,2,9,4,1,1,0,3.0,72.0,10.0,0
5.0,0,14.0,8,1,7,3,4,0,0,3.0,35.0,0.0,0
36.0,0,7.0,8,0,2,2,0,1,0,3.0,72.0,2.0,0
25.0,0,12.0,8,1,1,5,0,1,0,1.0,35.0,20.0,1
28.0,3,11.0,13,0,3,2,0,1,0,0.0,43.0,1.0,0
12.0,1,8.0,11,2,14,4,0,0,0,3.0,14.0,32.0,0
29.0,3,8.0,12,0,0,2,0,1,0,2.0,36.0,2.0,0
30.0,8,8.0,12,4,2,5,0,0,0,2.0,23.0,36.0,0
34.0,1,14.0,12,0,1,2,0,1,0,4.0,39.0,1.0,0
22.0,0,13.0,12,5,3,3,0,0,0,2.0,20.0,0.0,0
23.0,0,21.0,8,0,8,2,0,1,0,1.0,37.0,19.0,0
12.0,3,2.0,9,0,7,2,0,1,0,0.0,37.0,1.0,0
10.0,0,23.0,8,2,1,1,0,1,0,2.0,15.0,2.0,0
2.0,0,17.0,9,2,5,1,0,1,0,2.0,36.0,2.0,1
33.0,3,1.0,13,0,1,2,0,1,0,1.0,37.0,1.0,0
28.0,0,7.0,9,0,4,2,0,1,0,2.0,35.0,0.0,0
40.0,0,22.0,9,4,5,5,0,1,0,3.0,36.0,1.0,0
33.0,8,5.0,12,1,2,3,4,0,0,3.0,21.0,27.0,0
26.0,0,1.0,8,0,8,1,0,1,0,1.0,37.0,2.0,0
18.0,1,14.0,6,2,10,3,0,1,0,3.0,60.0,1.0,0
4.0,4,3.0,12,2,6,1,0,1,0,1.0,35.0,2.0,0
47.0,0,31.0,12,2,2,3,0,0,0,4.0,37.0,2.0,0
50.0,0,11.0,12,4,5,5,0,0,0,4.0,27.0,2.0,1
3.0,0,14.0,11,2,4,3,0,1,8,1.0,42.0,2.0,1
5.0,0,11.0,11,2,8,1,0,1,0,4.0,38.0,0.0,1
8.0,0,14.0,6,2,3,1,0,1,0,2.0,34.0,1.0,1
4.0,0,7.0,6,2,12,1,0,1,0,1.0,35.0,2.0,0
12.0,1,11.0,8,4,2,3,0,0,0,2.0,5.0,1.0,0
18.0,0,2.0,12,0,4,2,0,1,0,4.0,54.0,1.0,1
17.0,0,13.0,4,2,5,1,0,0,0,1.0,4.0,0.0,0
14.0,4,24.0,9,2,1,3,0,0,0,3.0,39.0,2.0,0
30.0,2,16.0,8,1,3,3,0,1,0,1.0,36.0,0.0,0
13.0,0,14.0,10,0,4,2,0,1,4,3.0,42.0,2.0,1
29.0,0,8.0,9,0,9,2,0,1,0,1.0,62.0,0.0,0
16.0,0,17.0,9,1,8,3,0,1,0,3.0,39.0,1.0,0
16.0,4,8.0,5,0,5,2,0,1,7,4.0,37.0,0.0,0
29.0,4,5.0,9,2,4,5,1,1,0,12.0,37.0,0.0,0
24.0,1,23.0,8,1,3,5,0,0,0,4.0,37.0,0.0,0
19.0,8,5.0,11,0,7,2,0,1,0,3.0,36.0,5.0,0
34.0,4,2.0,11,0,4,2,0,1,0,4.0,61.0,0.0,0
23.0,3,6.0,8,0,2,2,0,1,0,1.0,35.0,1.0,0
29.0,0,9.0,12,0,4,2,0,1,0,36.0,54.0,0.0,0
38.0,0,5.0,8,0,4,2,0,1,0,4.0,37.0,0.0,1
18.0,0,26.0,8,0,4,2,0,1,0,4.0,36.0,1.0,0
23.0,0,9.0,7,0,8,2,0,1,0,2.0,52.0,1.0,0
18.0,0,20.0,3,2,5,5,4,0,0,3.0,36.0,1.0,0
3.0,1,12.0,8,2,10,1,0,1,0,3.0,51.0,2.0,0
30.0,0,0.0,14,2,8,3,0,1,0,3.0,38.0,1.0,0
33.0,1,3.0,8,0,5,2,0,1,0,0.0,53.0,0.0,0
14.0,5,2.0,13,2,8,3,0,1,4,4.0,37.0,1.0,0
43.0,0,9.0,8,0,5,2,0,1,0,38.0,42.0,2.0,0
61.0,4,12.0,8,5,8,3,0,0,0,2.0,36.0,0.0,0
17.0,0,7.0,13,0,5,2,0,1,15,4.0,63.0,1.0,1
8.0,1,19.0,10,0,10,2,0,1,0,0.0,39.0,2.0,0
8.0,0,11.0,12,2,7,4,1,0,0,3.0,38.0,18.0,0
8.0,0,6.0,1,2,0,1,0,1,0,3.0,39.0,0.0,1
8.0,0,2.0,14,2,11,1,0,1,0,0.0,8.0,1.0,0
24.0,0,8.0,12,0,8,2,0,1,0,2.0,39.0,1.0,0
20.0,0,21.0,5,0,1,2,4,1,0,2.0,35.0,1.0,0
24.0,0,16.0,13,1,6,3,0,1,0,4.0,38.0,20.0,0
8.0,0,6.0,6,2,7,1,0,0,0,4.0,36.0,2.0,0
26.0,0,13.0,9,0,3,0,0,0,0,2.0,38.0,1.0,0
30.0,0,18.0,9,0,14,4,1,1,0,4.0,28.0,26.0,0
28.0,0,7.0,10,0,14,2,0,1,1,4.0,35.0,18.0,1
45.0,0,11.0,9,5,2,3,0,0,0,4.0,36.0,0.0,0
9.0,0,3.0,13,1,8,5,0,0,0,2.0,37.0,0.0,0
27.0,0,7.0,8,1,1,5,0,1,0,3.0,36.0,1.0,0
25.0,0,8.0,8,0,1,2,0,1,0,2.0,35.0,0.0,0
46.0,3,1.0,12,0,10,2,0,1,0,2.0,35.0,1.0,1
35.0,1,19.0,10,1,1,3,0,1,0,2.0,39.0,1.0,0
25.0,0,2.0,5,0,8,2,0,1,0,1.0,59.0,1.0,0
34.0,1,7.0,3,0,8,2,4,1,0,1.0,35.0,0.0,0
1.0,1,11.0,8,2,7,1,0,0,0,3.0,37.0,1.0,0
41.0,0,0.0,12,0,3,2,0,1,7,0.0,58.0,0.0,0
13.0,8,19.0,13,0,10,2,0,1,0,1.0,52.0,30.0,1
10.0,0,12.0,9,2,5,1,0,0,0,2.0,44.0,2.0,1
29.0,0,10.0,9,0,14,2,4,1,0,3.0,22.0,28.0,1
41.0,0,27.0,11,0,9,2,0,1,0,1.0,63.0,2.0,0
4.0,0,21.0,8,2,4,1,0,1,0,1.0,43.0,1.0,1
13.0,8,55.0,14,0,9,1,1,0,27,58.0,94.0,41.0,0
18.0,0,11.0,8,2,10,3,0,1,0,0.0,27.0,1.0,1
