age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
41.0,0,32.0,14,0,5,2,0,1,2.0,38.0,37.0,0.0,1
11.0,1,6.0,4,1,10,2,0,1,4.0,4.0,37.0,0.0,0
13.0,0,14.0,11,1,2,5,0,0,3.0,0.0,28.0,1.0,0
42.0,0,12.0,12,1,0,3,0,0,4.0,4.0,35.0,1.0,0
14.0,0,21.0,9,0,8,3,0,0,0.0,0.0,39.0,1.0,0
6.0,0,13.0,14,0,0,3,0,0,4.0,3.0,39.0,2.0,1
29.0,0,5.0,8,5,6,4,4,1,3.0,1.0,38.0,23.0,0
39.0,4,16.0,8,2,4,3,0,0,1.0,2.0,29.0,1.0,0
6.0,8,14.0,8,2,8,2,0,1,2.0,2.0,25.0,1.0,0
18.0,0,9.0,13,1,10,3,0,1,3.0,3.0,36.0,1.0,0
26.0,2,6.0,13,0,5,3,0,1,7.0,2.0,53.0,6.0,1
14.0,0,9.0,8,3,5,3,0,0,2.0,3.0,39.0,1.0,0
13.0,0,14.0,8,0,7,1,1,1,1.0,4.0,29.0,20.0,0
37.0,5,9.0,9,0,1,2,0,1,1.0,0.0,36.0,40.0,1
11.0,0,22.0,8,2,3,3,1,0,4.0,2.0,40.0,1.0,0
46.0,0,5.0,8,3,7,1,4,0,4.0,4.0,38.0,2.0,0
37.0,0,0.0,13,0,1,2,0,1,1.0,2.0,73.0,1.0,1
45.0,3,19.0,15,0,10,2,0,1,3.0,1.0,36.0,1.0,1
19.0,2,34.0,10,2,0,2,0,1,5.0,0.0,36.0,2.0,1
30.0,4,21.0,9,0,3,2,0,1,3.0,2.0,38.0,2.0,1
31.0,8,75.0,5,2,10,3,0,1,1.0,44.0,38.0,1.0,0
15.0,2,9.0,8,2,2,2,0,1,95.0,0.0,60.0,2.0,0
37.0,0,2.0,11,1,2,2,0,1,17.0,2.0,38.0,1.0,0
25.0,2,8.0,12,0,4,2,0,1,3.0,4.0,39.0,2.0,1
43.0,0,12.0,10,4,14,2,0,1,1.0,4.0,20.0,1.0,0
23.0,0,12.0,8,1,11,5,0,0,4.0,0.0,16.0,2.0,0
21.0,0,7.0,6,2,4,2,0,1,1.0,3.0,42.0,2.0,0
69.0,8,10.0,12,0,3,3,0,0,5.0,2.0,14.0,1.0,0
15.0,0,1.0,9,1,5,2,0,1,4.0,1.0,35.0,2.0,0
23.0,0,16.0,8,0,3,2,4,1,5.0,2.0,38.0,20.0,1
10.0,0,13.0,12,2,1,3,0,1,3.0,3.0,53.0,1.0,0
33.0,2,24.0,2,0,6,2,0,1,2.0,0.0,35.0,2.0,0
28.0,0,24.0,9,2,14,3,0,0,3.0,0.0,21.0,20.0,0
15.0,0,21.0,12,2,1,3,0,1,2.0,3.0,35.0,2.0,0
58.0,0,10.0,8,0,0,2,0,1,4.0,0.0,35.0,1.0,1
30.0,0,10.0,8,0,6,3,0,1,4.0,3.0,16.0,40.0,0
26.0,0,18.0,9,2,0,2,0,1,9.0,0.0,35.0,1.0,0
6.0,0,12.0,8,2,8,5,0,0,2.0,2.0,37.0,0.0,0
22.0,8,11.0,12,1,7,1,0,1,2.0,3.0,36.0,2.0,0
18.0,0,23.0,9,2,5,3,0,1,2.0,1.0,57.0,39.0,0
38.0,0,8.0,8,0,2,1,0,0,2.0,1.0,44.0,2.0,0
47.0,0,11.0,8,2,7,3,0,0,5.0,4.0,53.0,1.0,0
22.0,1,13.0,10,2,4,1,0,1,2.0,1.0,71.0,0.0,0
27.0,0,5.0,2,0,5,3,0,0,1.0,1.0,39.0,1.0,0
42.0,0,3.0,8,1,10,2,0,1,2.0,1.0,42.0,1.0,0
22.0,0,7.0,12,2,2,4,2,0,4.0,4.0,36.0,0.0,0
24.0,0,14.0,12,5,3,2,0,1,2.0,4.0,59.0,0.0,1
25.0,0,9.0,12,0,3,2,0,1,4.0,4.0,49.0,2.0,1
13.0,0,11.0,11,4,3,3,0,0,1.0,1.0,25.0,1.0,0
12.0,0,15.0,9,0,4,2,4,1,3.0,3.0,36.0,20.0,1
29.0,0,11.0,9,2,2,2,0,1,4.0,36.0,11.0,1.0,0
10.0,0,12.0,11,0,4,0,0,0,5.0,1.0,31.0,0.0,1
41.0,8,10.0,9,0,4,5,0,0,4.0,1.0,7.0,1.0,0
2.0,0,9.0,12,2,5,3,0,0,4.0,2.0,24.0,1.0,0
25.0,0,13.0,7,2,14,2,0,1,3.0,1.0,37.0,1.0,0
15.0,0,17.0,8,0,4,0,0,0,5.0,2.0,38.0,2.0,0
16.0,0,12.0,4,1,4,1,0,1,1.0,2.0,38.0,1.0,0
3.0,0,9.0,8,2,4,3,0,1,2.0,4.0,35.0,1.0,0
40.0,0,10.0,12,2,10,3,0,1,2.0,2.0,36.0,2.0,0
21.0,0,8.0,13,0,5,0,0,0,4.0,3.0,28.0,1.0,1
37.0,0,20.0,8,0,9,2,0,1,3.0,38.0,51.0,1.0,0
32.0,0,17.0,8,1,6,2,0,1,4.0,3.0,41.0,2.0,0
26.0,0,13.0,12,0,14,5,0,1,4.0,3.0,19.0,2.0,1
36.0,0,13.0,14,0,1,3,0,1,1.0,3.0,48.0,0.0,0
29.0,0,10.0,5,2,1,3,1,1,2.0,3.0,39.0,0.0,0
25.0,0,5.0,12,0,12,2,0,1,4.0,2.0,42.0,1.0,1
47.0,3,9.0,6,2,1,2,0,1,4.0,2.0,35.0,1.0,0
13.0,0,2.0,9,1,5,2,0,1,3.0,2.0,36.0,15.0,0
36.0,4,18.0,9,1,3,3,0,0,4.0,2.0,27.0,1.0,0
2.0,0,19.0,9,1,2,5,0,0,1.0,1.0,39.0,2.0,0
13.0,8,7.0,8,0,1,2,0,1,3.0,3.0,39.0,2.0,0
49.0,0,19.0,6,2,7,1,0,1,4.0,31.0,35.0,1.0,0
36.0,8,2.0,8,2,2,0,0,0,3.0,3.0,34.0,0.0,0
29.0,0,12.0,10,1,12,5,0,0,1.0,1.0,37.0,1.0,0
28.0,1,16.0,9,0,14,2,0,1,0.0,4.0,26.0,4.0,1
20.0,0,28.0,8,0,2,5,2,0,3.0,4.0,32.0,2.0,0
15.0,0,18.0,12,0,12,5,0,1,2.0,1.0,58.0,0.0,1
22.0,0,13.0,11,0,3,1,0,0,3.0,3.0,36.0,2.0,0
8.0,0,14.0,8,0,14,2,0,1,4.0,4.0,37.0,2.0,1
8.0,0,23.0,9,1,5,2,0,1,2.0,0.0,49.0,1.0,1
59.0,0,1.0,8,2,9,0,0,0,1.0,3.0,65.0,1.0,0
19.0,0,2.0,9,2,4,2,0,1,0.0,2.0,42.0,1.0,0
21.0,0,4.0,5,0,4,3,0,1,2.0,0.0,58.0,2.0,1
17.0,0,27.0,9,2,10,3,0,1,2.0,2.0,39.0,1.0,0
18.0,0,15.0,13,2,8,3,4,1,1.0,2.0,33.0,1.0,0
35.0,0,47.0,14,2,14,5,4,0,2.0,1.0,25.0,1.0,0
33.0,0,3.0,6,1,1,1,0,1,3.0,2.0,18.0,1.0,0
4.0,0,5.0,4,0,2,1,0,0,4.0,1.0,21.0,0.0,0
30.0,0,11.0,9,2,3,3,0,1,2.0,3.0,43.0,2.0,0
10.0,5,29.0,9,0,7,2,0,1,4.0,1.0,52.0,2.0,1
15.0,0,13.0,9,0,8,5,0,0,1.0,1.0,39.0,1.0,0
14.0,0,11.0,8,3,3,2,0,1,5.0,3.0,39.0,1.0,0
10.0,0,11.0,12,0,3,3,0,1,4.0,3.0,53.0,2.0,0
33.0,1,4.0,8,0,4,2,0,1,1.0,2.0,44.0,1.0,1
27.0,0,26.0,8,5,3,2,4,1,5.0,3.0,35.0,20.0,0
41.0,0,9.0,9,4,8,3,0,1,2.0,4.0,28.0,0.0,0
18.0,0,22.0,10,2,2,5,0,0,1.0,1.0,13.0,0.0,0
5.0,0,11.0,12,0,5,2,0,1,3.0,0.0,60.0,1.0,1
7.0,3,22.0,13,2,7,5,0,1,5.0,4.0,36.0,0.0,0
25.0,0,3.0,12,0,3,2,0,1,2.0,4.0,49.0,2.0,1
11.0,0,14.0,8,4,7,5,4,0,3.0,4.0,39.0,2.0,0
