age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
27,0,9,8,0,7,2,0,1,3,0,39,0,0
11,4,10,6,0,5,2,1,1,0,96,24,0,1
78,0,10,9,0,1,2,0,1,0,0,44,0,1
7,0,8,8,1,2,5,0,0,0,0,84,19,0
59,0,42,12,0,1,2,0,1,0,0,44,0,0
53,0,9,6,1,2,5,0,0,0,0,86,0,0
20,0,6,8,0,9,2,0,1,0,0,39,0,0
22,0,7,9,0,3,2,0,1,18,0,39,0,1
73,0,17,8,0,11,2,1,1,0,0,46,0,1
78,1,4,15,2,9,1,0,1,60,0,48,0,0
34,5,11,13,0,5,2,0,1,0,0,19,0,1
39,0,1,6,2,2,3,0,1,0,0,39,0,0
30,1,8,9,0,1,2,0,1,0,0,59,0,0
45,3,14,9,2,8,3,0,0,0,0,39,0,1
17,3,13,3,2,4,1,0,0,0,0,39,0,0
11,0,7,10,1,8,5,0,0,0,69,39,0,0
13,0,14,6,2,2,1,0,1,0,0,39,0,0
9,4,13,12,2,5,3,0,1,0,0,39,0,0
26,0,1,8,0,7,0,0,0,0,0,39,0,0
51,2,71,8,0,4,2,0,1,0,0,39,0,1
47,0,11,12,2,0,3,0,1,0,0,81,0,0
26,0,1,10,3,8,3,0,0,0,0,39,0,0
8,0,8,8,2,1,3,0,1,0,0,73,0,1
30,0,56,12,0,0,2,0,1,0,0,39,0,0
44,0,14,10,1,0,5,4,0,0,0,39,0,0
65,0,9,9,1,1,5,4,1,0,0,49,0,1
30,0,77,8,0,1,2,0,1,0,0,37,0,0
10,0,11,9,0,3,2,0,1,0,0,39,0,1
23,5,18,8,2,9,1,4,1,0,0,45,0,0
28,4,13,8,1,8,5,0,0,0,0,29,0,1
11,0,7,9,1,1,5,0,1,0,0,49,20,1
16,0,10,8,5,10,1,0,0,0,0,39,0,0
27,3,11,2,0,9,2,0,1,0,0,39,0,0
41,4,11,12,1,8,5,0,1,0,0,39,0,0
24,3,7,8,0,9,2,0,1,0,0,37,0,0
15,1,63,8,2,9,1,4,1,0,0,24,0,0
24,0,7,9,2,1,3,0,1,0,0,29,0,0
28,1,12,12,0,5,2,4,1,0,0,39,0,0
19,0,10,10,0,8,0,0,0,0,0,39,0,0
17,0,9,9,2,3,3,0,0,0,0,39,0,0
50,0,79,8,0,2,2,0,1,3,0,59,0,0
31,0,20,8,2,3,1,0,1,0,0,39,0,1
18,0,5,9,2,1,3,0,1,0,0,39,0,0
19,0,9,8,0,1,2,0,1,0,17,59,0,0
30,0,24,13,0,5,2,1,1,0,0,39,0,1
21,0,5,8,0,6,0,0,0,0,0,39,0,0
9,4,21,11,2,5,1,0,1,0,0,49,0,0
9,0,77,14,0,5,2,0,1,0,0,31,0,0
73,4,8,9,1,8,5,0,0,0,0,49,35,0
66,0,20,9,2,2,3,0,1,0,0,59,0,0
9,0,74,9,2,8,1,0,0,0,0,49,0,0
8,8,18,8,2,14,5,0,0,0,0,49,0,0
79,1,8,8,4,3,3,0,0,65,0,39,0,0
38,0,19,8,0,5,2,0,1,0,75,34,0,1
18,4,5,11,0,2,0,0,0,0,0,29,0,0
35,8,71,8,2,14,3,0,1,0,0,39,0,1
21,0,5,12,0,4,2,0,1,0,0,34,0,0
52,0,17,9,0,5,2,0,1,72,0,44,6,0
25,0,20,12,0,0,2,0,1,0,0,39,0,0
18,0,4,11,2,1,1,0,1,9,0,39,0,1
11,0,10,14,2,5,5,0,0,0,83,39,0,1
42,0,3,8,0,9,2,0,1,0,50,49,20,0
44,0,8,12,0,3,0,4,0,0,0,80,0,0
28,2,15,12,2,4,3,0,1,0,0,44,0,0
15,0,9,12,0,3,2,0,1,0,0,39,0,1
20,0,1,8,2,2,3,0,1,30,0,24,0,0
30,1,7,9,0,3,2,0,1,0,0,39,0,0
11,0,10,8,0,7,2,0,1,0,0,24,0,0
15,0,71,10,2,8,3,4,1,0,0,83,0,0
63,0,31,9,0,8,2,0,1,0,0,39,0,0
84,0,11,12,4,1,3,0,1,0,0,39,0,1
13,4,14,14,2,5,3,0,1,0,0,45,20,1
10,8,11,10,0,4,2,0,1,0,0,39,0,0
9,0,71,14,2,5,1,0,1,0,0,29,0,0
19,0,8,5,0,10,2,0,1,0,0,39,0,0
15,0,7,9,0,7,2,0,1,0,0,39,0,0
28,0,12,8,2,8,5,4,0,0,0,44,0,0
3,4,19,9,5,8,5,0,0,0,0,37,0,0
46,0,10,12,0,3,2,0,1,0,0,39,0,0
13,0,17,9,2,2,5,0,0,0,0,39,0,0
31,4,5,8,0,4,0,0,0,0,0,39,0,0
42,5,9,14,3,5,2,4,1,0,0,44,0,1
30,0,0,9,1,2,5,0,0,0,0,59,25,0
43,0,17,9,0,8,2,0,1,0,0,1,0,0
15,0,2,8,2,7,1,0,1,0,0,33,0,0
9,2,43,10,0,3,2,4,1,24,0,49,14,0
23,0,18,8,2,3,1,0,0,0,0,37,0,1
23,0,11,13,0,1,2,0,1,0,0,37,0,1
39,0,7,12,0,4,0,0,0,0,0,3,0,0
43,0,12,13,0,1,2,0,1,0,0,9,0,1
18,1,5,12,2,4,3,0,1,0,0,34,0,1
55,0,9,8,0,3,2,0,1,0,0,19,0,0
27,0,9,12,0,0,2,0,1,0,0,39,0,0
8,0,12,8,2,2,4,0,0,0,0,5,0,0
78,0,13,8,0,1,2,0,1,0,0,39,0,1
49,0,11,9,2,8,1,0,0,0,0,39,39,0
39,8,53,8,2,14,1,4,0,0,0,19,0,0
