age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
36,4,8,12,1,5,5,0,0,0,0,39,0,0
28,0,15,12,0,4,2,0,1,0,0,49,0,0
44,0,12,8,0,1,2,0,1,0,0,39,0,0
23,0,12,9,0,10,2,0,1,0,0,49,0,1
27,1,10,8,0,4,2,0,1,0,37,47,0,0
12,0,12,9,0,2,2,0,1,0,0,17,0,0
26,0,12,9,0,2,0,4,0,0,0,39,0,0
29,3,15,12,1,4,5,0,1,75,0,44,0,1
28,0,22,14,0,5,0,0,0,0,0,44,0,1
45,0,10,2,1,6,3,0,1,0,0,39,0,0
35,0,17,8,1,2,3,1,1,0,0,39,41,0
47,0,5,9,1,4,5,0,1,0,0,39,0,0
12,0,1,8,1,7,5,0,0,0,0,39,0,0
24,1,15,8,0,9,2,0,1,0,0,49,0,0
7,0,11,8,2,1,1,3,1,0,0,39,18,1
25,0,24,8,2,1,1,0,1,0,0,39,0,0
41,0,12,12,1,8,3,0,0,0,0,39,0,0
7,0,15,8,2,3,3,0,1,0,0,24,0,0
16,0,10,8,2,8,3,4,1,0,0,39,0,0
40,0,18,8,0,2,2,4,1,0,0,34,0,0
40,4,8,9,1,8,5,0,0,0,0,39,0,0
35,0,12,12,1,8,5,0,1,0,0,43,0,0
35,1,14,15,0,5,2,0,1,0,0,49,0,0
14,0,9,8,2,9,3,0,1,0,0,59,0,0
17,5,17,12,0,5,2,1,1,0,0,39,24,0
3,0,9,15,2,5,4,0,0,0,0,49,0,1
17,0,18,9,2,8,3,0,0,0,0,34,0,0
26,0,7,9,0,3,2,0,1,0,0,32,0,0
24,4,27,8,2,4,3,0,1,0,0,44,0,1
19,0,12,11,0,4,2,0,1,7,0,39,0,1
44,3,3,11,0,0,2,2,1,0,33,49,0,0
3,0,11,9,2,3,1,0,1,0,0,39,0,0
46,0,12,9,0,4,0,0,0,0,0,39,0,1
21,0,12,10,4,3,3,0,1,0,0,43,0,1
13,0,12,8,2,2,1,0,0,0,0,39,0,0
34,8,5,12,0,14,0,0,0,0,0,81,0,0
19,0,6,5,2,2,1,0,0,0,0,34,0,0
19,0,5,8,2,8,3,0,0,0,0,37,0,0
21,0,0,8,3,1,5,0,1,0,0,44,36,0
30,1,6,8,0,12,2,0,1,0,0,41,0,0
31,0,14,8,1,6,5,0,1,0,0,44,0,0
11,0,24,6,2,2,3,0,1,0,0,14,0,0
57,4,16,15,0,5,0,0,0,0,0,49,0,0
33,4,26,12,0,5,2,0,1,0,0,49,0,0
36,0,12,10,1,10,4,0,1,0,0,4,0,0
7,4,16,12,2,5,0,1,0,0,0,16,19,1
17,3,14,9,0,5,2,0,1,0,0,49,0,0
10,0,2,7,0,7,2,0,1,0,0,39,0,0
30,0,11,9,0,6,2,0,1,0,0,54,0,1
15,0,13,8,0,4,2,0,1,0,0,37,0,1
