age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
3,0,19,14,0,5,2,0,1,0,0,49,0,0
54,4,89,9,0,9,2,0,1,0,0,39,0,0
16,0,14,9,0,8,2,0,1,0,0,95,0,0
73,0,16,12,2,3,5,0,0,0,0,49,0,0
20,0,5,8,2,6,1,0,1,0,0,39,0,0
73,0,11,9,0,8,2,0,1,0,0,14,0,0
28,8,5,13,1,14,0,0,0,83,0,59,0,0
8,0,11,10,0,6,0,0,0,0,0,39,19,0
5,0,15,3,2,3,3,0,1,0,0,58,0,0
17,0,19,13,0,4,2,0,1,0,0,49,0,0
69,0,16,9,2,2,1,0,0,0,0,39,0,0
19,4,12,12,0,4,2,4,1,0,0,39,0,0
23,0,17,8,0,2,2,0,1,0,0,34,34,0
75,1,6,9,0,1,2,0,1,0,0,39,0,0
66,0,69,9,0,3,2,0,1,28,0,76,0,0
1,4,13,11,0,5,2,0,1,0,0,49,0,0
28,1,9,8,1,1,5,0,0,0,0,1,0,0
5,4,6,1,2,5,1,0,1,0,0,23,3,0
30,0,1,13,1,6,5,0,1,0,0,39,0,0
8,2,98,6,2,11,1,0,1,0,0,5,19,0
36,0,11,9,0,8,2,0,1,0,0,39,29,0
16,0,7,9,0,7,2,0,1,0,56,34,0,0
30,1,11,4,2,1,3,0,0,0,0,34,0,0
30,0,6,12,2,4,3,0,1,0,0,78,0,0
20,0,9,9,2,8,2,0,1,0,0,39,0,0
22,0,19,13,2,9,3,0,1,0,0,49,0,0
72,0,63,8,0,7,2,0,1,0,0,19,0,0
8,0,10,13,2,5,3,4,1,0,0,75,0,0
46,0,3,5,0,0,2,0,1,0,0,39,0,0
17,0,10,9,0,5,2,0,1,0,0,39,0,0
5,6,13,8,2,14,3,0,1,0,0,27,25,0
7,0,5,8,2,10,1,4,1,0,0,44,0,0
19,0,6,8,0,1,2,4,1,0,0,39,0,0
13,0,8,8,2,10,1,0,1,0,0,44,0,0
30,0,1,8,1,1,5,0,1,0,0,59,0,0
29,0,14,12,5,8,1,0,0,19,19,54,0,0
15,1,8,8,2,9,5,0,0,0,0,44,0,0
23,1,14,13,0,4,2,1,1,0,0,39,0,0
1,0,13,3,2,4,3,0,0,0,0,49,0,1
28,0,3,8,2,2,3,0,0,0,0,39,0,0
46,8,17,13,2,14,3,0,0,0,0,96,0,0
34,0,7,8,1,3,3,1,0,0,0,12,0,0
13,1,8,8,0,8,2,0,1,0,0,44,0,0
80,2,7,12,4,3,3,0,1,0,0,49,0,0
25,4,14,12,2,4,1,0,1,0,0,49,0,0
19,1,12,6,2,9,3,4,0,0,0,39,0,0
9,6,7,5,2,6,3,0,1,0,0,39,0,0
25,0,9,8,0,1,2,0,1,0,0,49,0,1
7,0,2,12,2,8,1,4,0,0,0,39,0,0
19,1,12,12,0,4,2,0,1,0,0,49,0,1
52,0,12,8,1,10,3,0,1,0,0,49,0,0
81,0,12,9,0,7,2,0,1,0,0,39,0,0
51,0,7,9,0,3,2,0,1,0,0,73,0,0
23,0,12,8,0,0,2,0,1,0,0,42,0,0
49,0,13,9,3,8,4,0,0,0,0,39,0,0
8,0,10,9,0,8,2,0,1,0,0,39,0,0
23,0,17,9,0,7,2,0,1,0,0,39,18,0
39,0,15,8,0,8,2,0,1,0,0,49,0,0
33,3,16,9,2,5,5,0,0,0,0,39,0,1
17,0,16,9,0,2,2,0,1,0,0,39,0,0
0,2,29,12,0,3,2,0,1,0,0,26,0,0
35,4,1,8,2,2,5,0,0,0,0,39,0,0
23,8,19,5,0,14,2,1,1,61,0,39,0,0
73,0,7,8,0,4,2,0,1,0,0,49,0,0
7,4,12,8,2,4,3,0,0,0,0,39,0,1
17,2,10,13,2,6,1,0,0,0,0,39,0,0
35,0,9,8,0,7,2,0,1,0,0,39,8,0
83,0,10,9,2,7,5,0,0,0,0,39,0,0
25,0,9,3,2,0,3,0,0,54,0,39,0,1
0,4,68,12,0,5,2,0,1,0,41,39,0,0
31,0,6,10,0,1,2,0,1,0,0,39,0,0
16,4,11,8,0,11,2,0,1,0,0,5,0,0
15,1,91,9,0,1,2,4,1,0,0,39,0,0
37,7,12,8,0,1,2,0,1,0,86,39,0,1
48,0,21,8,2,9,3,0,1,0,0,49,0,0
43,4,2,14,0,11,2,0,1,0,0,19,0,1
2,4,32,8,3,12,5,0,0,81,0,5,0,0
34,0,7,9,0,5,2,0,1,0,0,54,0,0
72,0,9,4,1,6,3,0,0,0,0,75,0,0
20,0,11,8,0,6,2,4,1,0,0,39,0,0
35,0,1,8,2,8,3,0,0,0,0,39,21,1
29,0,10,15,0,3,2,0,1,90,0,39,0,1
19,0,17,13,2,5,5,0,0,0,0,39,0,1
60,4,7,13,0,9,2,0,1,0,0,39,0,1
75,2,1,8,4,3,3,0,1,0,0,39,0,1
62,0,32,8,0,1,2,0,1,0,0,39,0,1
8,7,8,9,2,14,3,0,1,0,0,85,0,0
53,1,13,9,0,0,2,0,1,0,0,44,41,1
8,0,54,13,2,9,3,0,0,0,0,5,31,0
23,0,15,11,0,5,2,0,1,0,0,39,0,0
26,0,10,8,0,2,2,0,1,0,0,39,0,0
9,2,7,12,2,9,4,0,0,0,0,39,0,0
17,0,16,2,2,4,3,0,1,17,0,49,0,0
5,0,6,6,2,3,1,0,1,0,95,23,0,0
12,4,1,8,3,4,5,0,0,0,0,39,0,0
28,0,6,11,0,5,2,0,1,0,0,39,0,1
76,0,19,8,2,5,1,0,0,0,0,39,13,0
16,6,7,8,2,14,3,0,1,0,0,5,0,1
17,0,19,10,2,8,3,0,0,0,0,39,0,1
60,0,12,8,0,1,2,0,1,0,0,39,0,0
1,3,16,14,2,5,1,1,0,0,0,49,0,0
30,0,14,8,1,1,3,0,0,0,0,59,0,1
6,0,11,3,2,4,1,0,1,0,0,49,0,0
12,0,47,2,2,6,1,0,0,0,0,44,0,0
17,4,10,9,1,8,0,0,0,0,0,39,0,0
61,0,3,12,0,8,2,0,1,0,0,39,6,0
8,4,36,8,0,12,2,0,1,0,0,5,0,1
64,0,11,9,0,3,2,0,1,47,0,34,0,0
77,0,10,9,0,10,2,4,1,0,0,0,0,0
54,0,11,9,2,1,1,0,1,0,0,60,0,0
42,3,75,11,0,5,2,0,1,0,0,39,0,0
60,0,16,11,0,5,2,0,1,0,0,36,0,1
22,0,6,12,2,4,1,0,1,0,0,49,0,0
16,0,1,7,3,10,1,0,1,84,0,77,0,0
49,0,3,13,0,4,3,0,1,93,0,39,0,1
80,4,8,12,1,5,3,0,0,0,0,2,0,0
8,0,30,8,0,3,2,0,1,0,0,29,0,1
12,0,1,12,0,3,2,0,1,0,0,34,0,0
47,0,13,8,2,3,3,0,1,0,0,34,0,0
38,0,10,9,1,1,3,0,1,0,0,30,0,0
17,0,6,8,2,3,5,0,1,0,0,29,0,0
40,0,16,8,2,2,1,1,0,0,0,34,0,0
20,4,11,8,2,2,5,4,1,0,0,39,0,0
17,1,16,11,0,1,0,0,0,0,0,39,0,0
25,0,40,13,1,5,3,0,1,0,0,49,0,0
22,1,6,8,2,8,1,0,0,0,0,49,0,0
23,0,19,1,0,6,0,0,0,55,0,39,0,0
