age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
21,0,12,8,0,10,2,0,1,0,0,39,0,0
15,0,15,8,5,1,3,0,1,0,0,39,0,1
35,0,7,8,2,3,4,4,1,0,29,39,0,0
21,0,15,9,0,7,2,0,1,0,0,54,0,1
39,0,15,9,0,4,0,0,0,0,0,49,0,1
32,0,19,13,1,4,3,0,0,0,0,54,0,1
18,1,15,12,0,4,2,0,1,0,0,44,0,1
23,0,10,8,3,7,5,0,0,0,0,39,0,0
26,4,1,14,0,5,2,0,1,0,0,54,0,0
17,0,20,2,0,6,2,0,1,0,0,39,29,0
5,0,12,12,2,3,1,0,1,0,0,19,0,1
37,2,5,6,0,4,2,0,1,0,31,24,0,1
24,4,12,12,2,4,4,0,1,0,0,49,41,1
27,1,93,10,0,5,2,0,1,0,0,39,0,0
44,8,15,9,1,14,5,0,0,1,0,44,0,0
7,0,15,8,1,10,3,1,1,0,0,49,0,1
15,0,13,8,1,3,5,0,0,3,0,15,0,0
7,0,7,8,2,8,3,0,0,0,0,19,0,0
22,0,20,9,2,9,3,0,1,0,0,39,0,0
24,0,6,8,0,2,2,0,1,0,0,29,0,0
28,0,12,9,2,0,5,0,0,0,0,39,0,0
5,0,13,8,2,11,1,0,1,0,0,34,0,0
5,0,11,8,2,2,3,0,1,0,0,35,0,0
33,0,11,5,0,1,2,0,1,0,0,39,0,0
43,0,9,9,0,3,2,0,1,5,0,21,20,0
46,5,11,8,0,10,2,0,1,0,0,59,9,0
31,0,7,10,0,1,2,4,1,0,0,34,0,0
17,1,7,9,0,5,2,0,1,0,0,79,0,0
8,1,15,12,1,1,5,4,1,0,34,49,0,0
8,4,21,12,2,12,1,0,1,0,0,39,0,1
20,0,8,7,1,7,5,0,1,0,0,39,0,0
25,2,7,12,2,4,3,1,1,0,0,39,15,1
32,0,17,8,0,1,2,0,1,0,0,39,41,1
12,0,19,8,0,1,2,0,1,0,0,39,0,0
4,4,12,5,2,12,3,0,1,0,0,15,0,1
5,0,21,8,2,4,1,0,0,0,0,39,0,0
17,0,11,9,0,4,2,4,1,0,0,39,0,1
48,0,10,11,0,2,2,0,1,15,0,19,0,0
35,0,12,9,2,4,3,0,1,0,0,41,0,1
15,8,11,9,2,14,3,0,1,0,0,34,0,0
12,4,7,9,1,8,3,0,0,0,0,24,0,1
6,0,1,8,2,3,5,0,0,0,0,19,0,0
1,0,12,8,2,8,3,0,0,0,0,19,0,0
36,4,12,9,0,8,2,0,1,0,0,39,0,0
14,0,11,9,0,0,2,4,1,0,0,59,0,0
18,0,23,8,1,1,5,0,0,0,0,44,0,1
10,0,9,8,0,4,2,0,1,0,0,49,0,0
4,0,12,8,2,6,3,0,0,0,0,39,0,0
21,0,2,9,1,1,5,0,1,0,0,39,0,0
5,3,11,12,2,5,1,0,1,0,0,39,0,1
6,0,7,8,2,1,1,4,1,0,0,51,0,0
34,1,11,9,0,5,2,0,1,0,0,49,0,0
17,0,5,9,1,6,5,0,0,0,0,39,0,0
14,0,12,8,0,7,2,0,1,0,0,39,0,0
37,4,16,10,0,5,2,0,1,0,0,79,0,1
25,0,6,12,1,4,3,0,1,0,0,39,0,0
42,0,16,11,0,4,2,0,1,0,0,39,0,0
29,8,8,9,2,14,3,4,0,0,0,39,0,0
24,0,55,12,0,0,2,0,1,0,0,39,0,0
19,0,26,11,0,3,0,0,0,0,0,39,0,0
19,0,11,8,0,6,2,0,1,15,0,39,0,0
28,0,0,7,0,2,2,0,1,0,0,39,0,0
5,4,18,4,2,6,3,0,1,0,0,44,20,0
32,0,2,12,0,4,2,4,1,4,0,39,0,0
17,3,7,7,0,1,2,0,1,0,0,44,41,0
8,0,16,10,2,3,1,4,0,0,37,19,0,0
3,0,1,9,2,10,3,0,1,0,0,44,0,1
24,0,13,8,0,1,2,4,1,0,0,39,0,1
11,8,16,8,0,14,2,0,1,0,0,19,0,0
30,1,17,13,0,3,2,0,1,0,0,39,0,1
6,0,11,3,2,1,1,2,0,0,0,39,20,0
25,1,12,12,3,4,3,0,1,2,0,39,0,1
15,0,45,9,1,3,3,4,1,0,0,49,41,0
39,0,17,8,0,7,2,0,1,0,0,39,0,0
15,0,11,8,0,2,2,0,1,0,0,39,0,0
44,0,20,8,0,6,2,0,1,0,0,44,0,0
20,0,22,12,2,2,1,0,1,0,0,9,41,0
35,0,16,12,1,0,3,0,1,0,0,19,0,0
33,0,6,8,4,1,3,0,1,0,0,34,0,0
29,1,30,8,0,9,2,0,1,0,37,39,0,0
9,0,15,8,0,1,2,0,1,0,0,39,0,0
41,0,20,0,0,1,2,0,1,0,0,39,20,0
67,0,9,12,0,5,2,0,1,0,0,49,0,0
17,0,0,11,2,10,5,4,0,0,0,39,0,0
17,0,20,12,2,8,1,0,0,0,0,39,0,0
24,0,12,12,0,3,2,0,1,0,0,59,41,0
64,2,18,15,4,5,5,0,0,0,0,39,4,1
22,4,6,12,0,12,2,0,1,0,0,43,0,0
43,2,15,11,0,3,2,0,1,0,0,49,0,0
49,0,23,11,1,8,5,0,0,0,0,37,0,0
38,0,12,5,0,6,2,0,1,0,0,39,0,1
13,0,13,12,0,3,2,0,1,0,0,39,41,0
8,0,8,9,2,2,1,4,1,0,0,34,0,1
14,0,8,8,2,2,3,0,1,6,0,39,0,0
10,1,2,5,2,9,1,0,0,0,0,39,0,0
44,0,11,12,1,4,3,0,0,0,0,39,0,0
40,5,13,13,1,5,3,1,1,0,0,35,11,1
35,0,8,8,0,1,2,0,1,0,0,36,0,0
41,0,1,12,0,5,2,0,1,0,0,39,0,0
14,0,21,8,0,5,2,0,1,0,0,44,0,1
27,0,10,8,0,11,2,0,1,0,0,29,0,0
33,0,6,3,0,7,2,0,1,0,0,39,0,0
21,3,11,8,2,4,3,0,0,0,0,44,0,0
35,0,4,2,5,1,3,0,0,0,0,39,36,0
31,0,5,11,0,8,2,0,1,0,0,39,0,0
22,0,11,8,0,7,2,0,1,7,0,39,0,0
14,0,10,9,2,5,1,0,0,0,0,59,0,0
38,0,5,8,1,3,5,0,0,0,0,39,0,0
37,8,8,9,0,14,2,0,1,0,0,39,0,0
14,4,30,8,2,2,3,0,0,0,0,39,0,0
23,0,10,2,0,1,2,0,1,0,0,39,36,0
28,0,8,12,1,8,3,0,0,0,0,23,0,0
25,8,8,9,0,14,2,0,1,2,0,54,0,0
3,0,9,9,2,2,3,0,1,0,0,69,12,0
21,4,7,14,1,5,3,0,1,0,0,39,0,0
14,0,16,8,2,1,3,0,1,0,0,39,24,1
17,8,9,8,2,14,1,0,0,0,0,19,0,0
26,0,1,8,0,8,2,0,1,0,0,39,0,0
34,0,10,12,0,3,2,0,1,0,0,38,0,0
22,3,11,13,0,5,2,0,1,0,0,39,0,0
54,0,6,4,0,10,0,0,0,0,0,54,0,1
10,1,17,14,2,5,3,0,0,0,0,39,0,1
13,0,7,8,1,7,3,0,1,0,0,39,0,0
10,0,1,9,2,8,1,0,0,0,0,26,0,0
25,0,4,13,0,4,2,0,1,0,37,19,0,0
31,0,15,3,0,9,2,0,1,7,0,48,0,0
6,0,31,8,2,2,1,4,1,0,0,29,0,0
42,0,7,9,4,4,5,0,0,0,0,39,0,1
13,0,7,9,2,1,1,0,1,0,0,39,0,0
18,0,8,7,1,5,3,0,0,0,0,44,0,1
53,1,10,13,4,4,5,0,1,0,0,44,0,1
21,3,26,10,1,8,5,0,0,1,0,39,0,1
6,1,14,8,2,3,1,0,0,0,0,24,0,1
27,0,10,9,0,3,2,0,1,0,0,5,0,1
32,2,12,9,0,4,2,0,1,1,0,39,0,1
6,0,4,9,2,8,3,0,0,0,0,19,0,0
39,2,11,8,0,4,2,0,1,0,0,39,0,0
27,0,18,8,1,10,5,0,1,0,0,39,0,0
31,0,11,4,1,7,1,0,1,0,0,39,0,0
