age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
5,0,10,10,0,2,2,4,1,0,0,39,0,0
34,0,11,9,0,1,1,0,1,0,0,15,0,0
33,8,8,8,3,4,3,0,0,0,0,29,0,0
53,0,6,8,1,2,2,0,0,0,0,33,0,0
75,0,91,8,2,3,2,0,0,0,0,39,0,0
17,0,13,8,0,2,2,4,1,0,0,39,38,1
17,0,6,6,1,1,5,0,0,0,0,39,0,0
21,0,19,9,0,8,2,0,1,99,0,7,0,0
10,0,96,8,0,6,2,0,1,0,0,22,0,1
66,0,9,8,5,4,3,0,1,0,0,39,23,0
17,5,15,8,0,12,2,4,0,0,0,32,0,1
11,0,61,9,0,5,2,4,1,0,0,39,23,0
7,0,13,3,6,14,3,0,0,0,0,34,25,1
75,1,9,8,0,7,5,0,1,0,0,59,0,0
43,4,14,8,2,1,2,0,1,0,0,39,0,0
13,0,6,8,2,4,3,0,0,0,0,73,0,0
14,8,13,12,1,4,2,0,0,0,0,49,35,1
76,0,11,12,2,2,3,0,1,0,0,39,9,0
30,0,10,2,2,1,3,0,1,0,0,39,0,1
64,0,10,12,2,7,3,0,1,0,0,39,0,0
21,1,1,14,2,3,1,3,0,0,0,82,0,0
58,0,71,8,2,1,3,0,1,0,0,39,0,0
34,4,9,12,0,1,2,1,1,0,66,39,0,0
78,1,12,8,0,0,0,0,0,0,0,51,0,0
50,0,14,12,0,8,3,0,0,0,0,10,0,0
22,3,84,9,2,1,3,0,1,0,0,36,37,0
28,0,7,12,2,8,2,0,1,0,0,39,0,0
63,0,42,9,2,8,1,0,1,0,0,49,0,0
10,5,33,8,0,8,2,4,1,0,0,39,0,1
5,0,8,8,1,4,3,0,1,0,0,39,12,0
44,0,18,8,4,5,2,0,1,89,0,44,0,0
1,0,18,12,0,4,5,4,1,0,0,34,0,0
52,2,55,8,2,4,0,4,1,15,0,39,0,1
81,0,15,9,5,14,3,0,1,0,0,34,0,0
43,7,11,8,0,3,2,1,0,0,0,39,0,0
47,7,12,8,1,14,5,0,1,0,0,47,0,0
25,0,10,9,0,6,2,0,1,0,99,39,0,0
11,0,11,4,2,3,3,0,0,0,0,39,0,0
16,4,7,7,0,1,3,0,0,0,0,44,19,0
26,0,12,4,2,1,4,0,0,0,0,39,0,0
53,0,61,8,2,2,3,0,1,0,0,39,0,0
37,0,30,13,0,8,2,0,0,0,0,19,0,0
19,0,5,13,2,4,2,0,1,0,0,44,0,1
17,2,16,9,2,6,2,4,1,0,0,44,0,0
36,0,12,9,1,5,4,0,1,0,0,15,0,0
18,0,8,9,4,8,0,0,0,0,0,39,0,1
42,1,6,9,0,12,2,0,0,0,0,19,0,1
