age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
14,0,4,10,0,12,3,0,0,0,0,39,0,0
32,0,14,9,2,0,5,0,0,0,0,39,0,0
16,5,15,5,1,10,5,0,0,0,0,39,0,0
23,5,8,8,0,0,5,0,1,0,0,44,7,0
29,0,15,9,0,1,2,0,1,0,0,39,0,1
24,1,8,12,2,5,3,0,1,0,0,39,0,0
14,1,15,8,0,4,1,4,0,0,0,39,0,0
31,0,11,9,0,3,2,0,1,0,0,49,0,0
35,1,9,8,0,4,2,0,1,0,0,39,0,0
8,0,8,10,3,5,2,0,1,0,0,39,0,0
33,0,3,9,1,8,2,0,1,0,0,39,0,0
55,0,18,9,2,3,3,0,0,0,0,19,0,0
6,0,9,12,0,14,2,0,1,0,0,9,0,0
19,5,12,7,0,5,5,1,0,0,0,39,0,0
42,0,8,11,0,12,3,0,1,0,0,39,0,1
2,0,11,6,0,3,2,0,1,0,0,59,0,0
22,0,23,8,1,5,2,0,1,0,0,59,0,1
25,0,18,8,0,14,2,4,1,0,0,39,0,0
28,0,1,8,0,1,2,0,1,0,0,27,0,0
9,0,11,5,2,3,5,0,1,0,0,29,0,0
29,0,16,8,1,4,3,0,1,0,0,14,0,0
26,0,11,6,1,8,5,0,0,0,0,39,3,0
18,0,17,8,0,3,0,0,0,0,0,39,0,0
27,0,34,12,0,12,3,0,1,0,0,49,0,0
16,0,13,9,0,5,2,4,1,0,0,39,0,0
28,0,12,9,2,7,4,0,0,0,0,59,0,1
9,0,15,15,2,2,2,0,1,0,0,39,0,0
21,0,1,9,2,2,0,0,0,0,0,39,3,0
31,0,22,8,0,1,2,0,1,0,0,39,0,1
25,8,9,9,0,8,2,0,1,0,0,39,0,1
21,1,14,8,0,10,3,0,0,0,0,39,0,0
6,0,9,12,0,8,2,0,1,0,0,44,0,0
8,0,12,5,2,5,2,0,1,0,0,39,0,0
50,0,6,8,0,1,3,4,0,0,0,39,0,1
24,5,24,9,2,8,1,0,1,0,0,37,0,1
35,0,1,13,0,5,5,0,0,0,0,35,0,1
10,0,28,9,0,14,4,0,0,0,0,39,20,0
41,3,22,9,2,7,3,0,1,0,0,39,0,0
59,0,21,9,0,10,1,0,0,0,0,44,0,0
9,0,21,12,0,4,2,0,1,0,0,39,0,0
16,2,23,8,0,5,2,0,1,20,0,47,0,0
52,2,7,4,0,4,2,0,1,0,0,39,0,0
27,0,12,3,0,1,3,0,0,0,0,98,0,1
16,1,12,3,0,3,2,0,1,0,0,39,0,0
42,0,7,12,2,3,2,0,1,0,0,39,0,1
42,0,1,14,0,5,2,0,1,0,36,49,0,1
4,0,18,8,2,7,3,0,1,0,0,44,0,0
30,0,3,1,0,6,0,0,0,15,0,39,0,0
1,0,9,12,2,6,2,0,1,0,0,39,0,0
39,4,23,11,2,3,2,0,1,0,0,49,0,0
7,2,16,12,2,10,0,0,0,0,0,39,0,0
11,3,20,8,0,1,2,0,1,0,0,39,0,0
47,0,12,8,2,12,5,4,0,0,0,39,0,0
44,0,6,12,0,8,2,0,1,0,0,39,0,1
22,0,16,12,0,1,0,0,0,0,0,34,0,0
23,3,5,15,1,10,3,4,0,0,0,39,0,1
29,0,8,8,0,4,2,0,1,0,0,39,41,0
10,8,12,8,4,2,5,0,0,0,0,39,0,1
17,0,6,5,1,5,1,0,0,0,0,39,0,0
17,0,6,8,0,5,3,0,0,0,0,47,16,0
36,0,15,13,0,12,0,0,0,0,0,49,0,1
11,8,2,8,0,5,2,0,1,7,0,59,0,0
20,5,22,8,1,8,0,4,0,0,0,39,0,0
29,0,29,8,2,3,2,0,1,0,0,44,0,0
33,0,12,10,2,7,2,0,1,0,0,39,41,1
15,0,1,11,2,7,1,0,0,3,0,47,0,0
30,8,7,8,0,5,2,0,1,0,0,49,0,0
9,0,6,13,0,1,2,0,1,0,0,39,0,1
17,0,2,8,0,3,1,0,1,0,0,54,0,0
42,0,8,13,0,1,2,0,1,0,0,49,0,0
35,0,17,14,1,1,2,1,1,0,0,39,0,0
15,1,15,12,2,5,1,0,1,15,0,49,0,0
47,0,1,12,0,4,0,0,0,0,0,49,0,1
34,0,4,9,2,8,2,0,1,0,0,39,15,1
24,8,10,12,2,2,2,0,1,0,0,39,0,1
18,0,27,15,0,5,5,0,0,0,0,49,0,1
73,0,10,8,2,3,5,0,0,0,0,59,0,1
36,3,8,9,2,3,2,4,1,0,0,39,0,1
35,0,6,8,0,7,4,0,0,0,0,39,39,0
23,0,11,8,2,8,5,0,0,0,0,43,0,0
28,0,21,8,2,0,3,0,0,0,0,37,0,0
30,0,16,6,2,1,0,0,0,0,0,39,7,0
15,1,2,8,0,4,2,0,1,0,0,39,0,1
2,0,7,12,0,4,2,0,1,0,0,34,0,0
37,3,3,12,2,3,3,0,1,0,0,23,0,0
14,0,14,14,0,7,2,0,1,0,0,39,0,0
20,5,11,12,0,5,3,0,0,0,0,39,0,1
9,4,9,8,0,10,5,0,1,0,0,39,0,0
32,2,8,8,0,14,5,0,0,0,0,37,0,0
8,3,3,8,3,4,3,0,1,0,0,34,0,0
20,0,9,0,0,3,5,0,0,0,0,35,0,0
35,0,7,12,0,0,3,0,0,0,0,49,0,1
24,0,13,8,2,8,4,0,1,15,0,49,37,0
5,0,11,12,0,7,1,0,0,0,0,54,0,0
32,0,9,11,1,8,3,0,1,0,0,49,20,0
17,0,6,8,2,6,2,0,1,0,0,39,0,0
1,4,6,8,0,1,5,0,0,0,0,19,0,0
37,0,18,12,2,5,5,0,0,0,0,39,0,0
16,5,22,8,0,1,2,0,1,0,37,98,0,0
39,0,4,8,2,9,2,0,1,0,0,39,0,0
24,0,14,10,0,6,3,4,1,0,0,19,0,1
28,0,14,8,0,5,3,0,0,0,0,39,0,0
1,4,1,8,4,0,2,0,1,0,0,59,0,0
35,0,0,8,0,14,1,0,1,0,0,39,0,1
44,0,9,8,0,4,2,0,1,0,0,39,0,1
