age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
11,0,10,9,2,14,3,0,1,0,0,39,0,0
13,1,9,8,0,2,2,0,0,0,61,39,0,0
45,2,2,5,2,11,3,0,1,12,0,59,0,0
30,5,3,8,2,2,4,0,1,0,0,65,0,0
7,0,7,8,0,10,0,0,1,0,0,39,0,0
19,0,85,8,0,14,2,0,0,0,0,59,0,0
42,0,12,8,0,2,2,0,1,0,0,39,0,0
17,1,55,8,0,1,2,0,0,0,0,39,0,0
32,0,1,10,0,5,2,0,1,24,0,65,0,0
14,0,13,9,0,7,2,0,1,0,0,4,0,0
22,1,14,3,3,7,5,4,0,0,0,39,0,0
7,0,18,9,0,1,2,0,1,0,0,44,0,0
79,0,8,13,1,11,1,0,1,0,0,39,0,0
82,0,8,9,2,5,1,0,1,0,0,19,35,0
36,8,1,0,2,14,1,0,0,0,0,49,0,0
18,2,18,8,2,7,1,0,1,0,0,63,0,0
4,0,11,9,3,5,5,0,1,0,0,28,0,0
27,0,1,8,0,1,2,4,1,5,0,39,0,1
75,0,91,12,2,5,1,0,0,0,0,91,0,0
3,0,10,9,0,2,2,0,1,0,0,5,0,1
9,5,5,3,0,11,2,0,0,0,0,59,0,1
66,8,12,13,2,4,3,0,1,0,0,39,16,0
36,0,1,12,1,2,5,4,0,0,0,83,0,1
4,0,11,9,0,8,2,0,0,0,0,4,0,1
65,4,10,13,0,5,0,0,1,0,0,39,0,0
10,0,15,9,0,3,2,0,0,24,0,34,0,1
35,5,37,11,0,5,0,0,1,0,0,39,0,0
12,0,10,14,0,5,2,1,1,0,70,19,19,1
35,0,12,12,0,3,2,0,0,86,0,76,0,1
21,0,9,9,2,2,1,0,1,0,0,34,0,0
9,0,14,9,2,3,5,0,1,0,0,49,17,0
74,0,13,9,0,1,2,0,1,0,0,25,0,0
59,0,13,12,0,3,2,0,1,0,0,19,0,0
67,5,11,8,1,12,3,2,1,8,0,41,0,1
39,4,75,8,0,5,2,4,0,0,0,23,0,0
9,0,10,8,1,5,5,0,0,76,0,39,0,0
14,1,20,8,0,1,2,4,1,0,41,59,0,1
61,0,8,13,2,5,5,0,1,69,0,39,0,0
9,0,6,9,0,2,2,0,1,0,0,59,0,0
40,2,11,8,2,5,3,0,1,0,0,94,0,0
30,0,7,8,2,1,4,0,1,0,0,39,0,0
17,0,81,12,2,3,3,0,0,0,0,44,0,1
14,0,57,9,2,8,5,0,1,0,0,44,0,1
3,0,2,8,0,5,2,0,0,0,0,39,0,0
60,0,11,8,0,2,2,0,1,0,0,39,0,0
82,0,9,9,2,9,3,0,1,0,0,56,0,0
65,0,12,9,2,9,4,0,1,0,0,6,0,0
12,0,9,11,0,5,2,2,1,59,0,63,0,1
23,0,15,14,0,5,1,0,1,7,0,39,0,1
77,1,10,9,5,3,3,0,1,11,0,39,0,1
28,0,6,6,2,4,3,0,0,65,0,44,0,1
10,0,13,9,0,14,2,0,0,0,0,34,0,0
68,0,2,9,0,2,2,0,1,44,0,39,0,1
7,0,7,12,0,5,2,0,0,0,0,39,0,0
14,0,71,13,1,5,5,0,0,0,0,78,0,0
35,0,94,8,2,3,3,0,0,0,0,65,0,0
22,0,10,7,0,2,2,1,1,0,0,39,13,0
81,1,5,8,0,7,2,0,1,0,77,95,0,0
12,0,12,8,0,14,2,1,1,0,0,19,10,0
14,1,3,8,3,0,5,0,1,0,0,39,0,0
51,4,68,8,0,7,2,0,1,0,0,39,0,0
22,0,87,8,0,14,2,0,1,0,0,39,0,0
23,8,7,13,2,1,1,0,0,0,0,39,0,0
60,5,8,1,1,2,3,0,0,0,0,39,0,0
19,0,7,8,2,14,3,0,1,0,0,59,0,1
46,0,6,12,3,0,3,0,1,0,0,73,7,0
15,0,14,8,2,10,4,0,1,0,0,39,0,1
65,0,11,10,1,5,3,0,1,0,0,49,0,0
70,2,5,12,0,1,2,0,1,0,0,38,39,0
13,5,1,5,2,2,4,3,0,0,0,39,19,0
12,4,6,8,2,10,5,0,0,0,0,19,7,0
31,0,49,9,2,2,5,0,1,0,0,34,0,0
19,0,34,3,0,0,2,0,0,0,0,44,0,0
46,0,14,10,0,8,2,4,1,0,0,44,0,0
22,0,20,8,2,5,1,3,1,0,0,39,0,0
21,0,15,6,2,1,3,0,1,0,0,19,0,0
23,0,1,8,6,11,0,4,0,0,0,49,0,0
3,0,54,8,0,4,2,0,1,0,0,39,0,1
21,1,54,9,0,7,2,0,1,0,0,29,0,1
60,0,13,12,2,4,1,0,0,22,0,39,0,0
68,5,8,12,0,1,2,0,1,0,0,39,0,1
11,5,13,6,2,1,5,0,0,12,0,39,0,1
69,0,13,9,4,3,5,0,1,30,0,41,31,0
36,0,3,8,2,10,5,0,1,0,0,39,0,1
