age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
9,0,12,11,2,4,4,0,0,0,0,59,0,0
14,1,15,9,4,8,5,0,1,0,32,19,0,0
17,8,8,9,0,1,2,4,0,0,0,39,0,0
31,0,5,9,2,5,3,0,1,0,0,39,0,0
11,0,3,9,4,6,5,0,1,0,0,44,0,0
25,0,7,9,0,8,2,0,1,0,0,71,0,1
2,0,11,8,0,10,2,0,1,0,0,19,0,0
16,2,14,8,0,3,2,0,1,0,0,39,0,1
12,4,9,8,2,7,3,4,1,0,0,49,0,0
1,3,11,11,2,6,1,0,0,0,0,27,0,0
5,4,13,9,0,3,2,0,1,0,0,14,0,0
37,0,8,8,2,8,3,0,0,0,0,39,41,0
29,0,19,8,0,10,2,4,1,0,22,37,0,0
31,1,10,8,1,1,1,0,1,0,0,39,0,1
3,0,11,6,2,14,3,0,1,0,0,37,0,0
6,0,12,6,2,5,3,0,1,0,0,39,0,1
49,0,9,11,2,1,1,4,1,0,0,74,0,0
12,0,12,9,0,8,2,0,1,0,0,39,0,0
28,0,9,9,0,9,2,0,0,0,0,34,0,0
3,0,11,8,0,8,2,4,0,0,0,34,41,0
45,8,4,8,2,0,3,0,1,0,0,39,0,0
10,0,13,8,2,7,3,4,0,0,0,59,0,1
12,3,5,8,2,1,3,0,1,0,0,19,0,1
6,0,6,8,1,1,5,0,1,0,0,29,0,0
66,0,20,8,2,8,1,0,0,0,32,49,0,0
25,5,11,12,0,2,2,0,1,0,0,49,0,0
35,0,20,11,2,4,5,0,1,0,0,39,0,0
22,0,12,8,0,2,2,0,1,0,0,49,0,0
33,8,2,12,0,5,2,0,1,0,0,29,0,0
24,0,22,9,2,1,3,0,1,10,0,44,0,1
31,0,17,11,1,0,5,0,1,0,0,39,0,0
10,0,15,8,2,8,3,0,1,0,0,39,0,0
28,3,23,8,0,11,2,0,1,0,0,79,0,0
32,0,17,5,2,1,3,0,1,0,0,39,0,1
35,0,1,8,0,5,2,0,0,0,0,39,0,0
14,0,22,8,0,4,2,0,1,2,0,49,0,0
35,4,20,12,0,8,2,0,0,0,0,39,0,0
41,0,8,9,0,2,2,0,1,0,0,34,0,0
21,4,21,8,2,10,5,0,1,0,0,39,0,0
21,1,10,9,2,2,1,0,1,0,0,34,0,0
31,1,13,9,4,3,3,4,1,0,0,98,0,0
16,0,2,12,0,5,2,0,1,0,31,39,0,1
34,4,12,12,0,1,2,0,1,0,0,29,0,0
5,0,9,9,0,1,2,0,1,0,0,9,0,0
20,0,10,9,0,12,2,4,0,0,0,79,28,0
13,0,1,13,0,5,2,0,1,0,0,39,0,1
12,0,7,9,1,2,3,0,1,0,0,34,0,0
15,0,4,9,0,4,2,0,1,0,0,19,0,1
15,0,25,8,0,2,2,0,1,7,0,44,41,1
32,2,8,9,0,3,2,1,1,0,0,54,0,0
20,0,22,6,0,10,2,0,0,99,0,59,0,1
22,0,10,8,2,2,1,0,1,0,0,39,0,0
16,0,11,8,2,6,1,0,0,0,0,54,0,0
17,1,23,9,0,1,2,0,0,4,0,27,0,0
8,0,14,6,2,6,1,0,1,0,0,23,0,0
18,1,7,8,2,3,3,0,1,0,0,43,0,0
16,1,18,12,2,3,1,0,1,0,0,39,0,0
6,0,13,9,0,5,2,0,0,0,0,11,5,0
39,0,8,12,2,4,1,0,1,0,0,14,0,0
24,0,5,8,0,2,2,4,0,0,0,4,0,0
25,0,14,6,2,5,3,0,0,0,0,29,0,0
29,0,6,8,5,4,3,0,0,0,0,39,0,0
18,0,7,10,0,7,2,0,0,0,0,64,0,0
36,1,9,10,0,1,2,0,1,7,0,43,0,1
28,4,14,6,0,7,2,4,1,0,0,49,0,1
9,0,11,9,0,2,2,0,0,0,0,39,0,0
17,0,7,13,0,5,0,0,1,0,0,15,0,0
32,0,1,9,2,3,1,0,0,0,0,39,4,0
28,3,10,8,0,1,2,0,1,0,0,39,30,0
39,0,7,12,0,5,2,1,0,0,0,39,0,0
22,0,11,8,0,1,2,0,1,99,0,67,0,1
44,0,37,9,0,8,2,0,1,0,0,39,0,0
57,0,3,6,3,4,5,0,0,0,0,14,0,1
18,0,8,12,5,4,3,3,1,0,0,49,0,0
