age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
26,0,4,8,3,7,1,0,1,51,0,39,0,0
31,1,11,8,2,2,1,4,1,0,0,12,41,0
29,0,6,11,3,10,5,0,0,0,0,39,0,0
21,0,14,9,0,0,2,0,1,0,0,19,0,1
30,5,17,3,1,5,1,0,1,0,0,39,0,1
60,0,6,8,0,10,2,0,1,0,0,39,0,0
34,0,14,8,1,2,3,0,1,0,0,61,34,0
51,0,6,12,0,12,2,0,1,0,54,39,11,0
29,0,5,9,3,8,5,0,0,0,0,39,0,0
65,1,2,8,4,13,3,0,0,0,0,29,0,0
12,4,12,8,2,12,1,0,1,0,0,47,0,0
14,0,4,12,2,0,1,0,1,5,0,54,0,0
80,2,8,12,1,3,3,0,1,0,0,29,38,0
62,4,5,2,0,4,2,0,1,0,0,59,0,0
4,4,1,8,4,3,3,0,1,0,0,49,0,0
21,0,6,10,2,4,3,0,0,0,0,44,0,0
83,0,12,8,2,6,3,4,0,0,0,39,0,0
29,0,6,9,2,3,1,0,0,0,74,82,0,0
19,8,7,12,0,14,2,0,1,0,0,34,0,1
81,0,9,8,0,8,0,0,0,0,0,83,0,1
19,0,7,8,0,1,0,0,0,0,0,39,0,1
7,0,12,8,2,1,1,1,1,23,0,39,0,0
10,0,3,13,2,5,1,0,1,0,0,49,0,0
29,0,6,9,3,4,4,3,1,0,0,39,0,0
44,0,6,6,2,9,3,0,1,0,0,47,0,0
20,4,9,6,2,5,3,0,0,0,0,39,0,0
21,0,12,12,1,3,3,0,1,0,0,39,28,0
46,0,6,8,0,1,2,0,1,0,0,39,0,0
29,1,14,5,2,13,3,0,0,0,0,62,0,0
19,0,17,9,2,8,1,0,1,0,0,39,0,0
21,0,14,10,0,4,2,0,1,0,0,59,0,1
24,0,8,10,0,8,2,0,1,0,0,39,0,1
39,0,7,8,0,6,0,0,0,0,0,39,0,1
60,0,10,8,0,1,2,0,1,0,0,51,4,0
34,0,17,8,6,1,5,0,0,0,0,39,0,0
18,0,60,9,0,4,2,0,1,0,0,39,0,1
37,0,15,8,0,2,2,0,1,0,0,39,0,1
7,0,11,8,2,8,4,1,0,0,0,39,0,0
80,0,12,12,0,4,2,1,1,0,0,11,0,0
61,0,99,1,0,5,2,4,1,0,0,39,0,0
43,0,17,12,0,3,2,0,1,0,0,39,0,0
60,5,57,9,2,6,5,4,0,0,0,39,0,0
82,0,17,8,0,4,2,0,1,63,0,39,0,0
17,0,20,13,1,10,3,0,0,0,0,39,0,0
57,0,15,8,3,8,5,0,0,0,0,39,0,0
83,0,1,8,3,4,5,0,0,0,0,39,0,0
18,0,8,9,0,4,0,0,0,0,0,39,0,1
65,0,9,9,2,8,3,0,0,0,0,39,0,0
17,0,17,9,1,1,3,1,1,0,38,49,0,0
25,8,8,9,0,14,2,4,1,0,25,86,0,0
9,0,4,12,0,7,0,4,0,0,0,19,0,0
22,0,5,11,0,3,2,1,1,0,0,19,0,0
20,0,97,15,0,4,2,0,1,0,0,39,0,1
29,4,5,9,3,5,5,0,0,0,0,44,0,0
1,8,9,8,0,14,2,0,1,0,0,34,0,1
22,0,11,8,0,2,0,0,0,0,0,49,0,1
75,0,10,8,2,7,4,0,1,0,0,54,0,0
33,5,8,9,2,5,1,4,0,0,0,44,0,0
26,0,13,8,0,3,2,4,1,0,0,39,0,0
2,0,7,8,0,3,2,0,1,0,0,49,0,1
35,0,15,9,0,4,2,0,1,0,0,39,41,0
27,0,18,12,0,0,2,0,1,0,0,49,0,1
76,0,8,8,0,4,2,0,1,0,0,44,0,0
76,0,9,5,0,7,2,1,1,0,0,39,0,1
18,0,56,8,0,1,2,0,1,0,0,39,0,0
81,0,85,9,0,8,2,0,1,0,0,72,0,1
10,0,10,12,2,3,3,0,1,0,0,49,0,0
9,4,18,12,0,5,2,0,1,0,0,39,0,0
5,0,2,8,2,6,1,4,0,0,0,39,0,0
64,0,79,9,0,6,2,0,1,0,0,39,0,0
1,4,17,8,1,10,4,0,1,0,0,39,0,0
25,0,41,9,0,2,2,0,1,0,0,39,0,1
2,0,3,9,0,0,2,1,1,0,0,39,0,1
