age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
28,8,14,10,0,14,2,0,1,0,0,19,0,0
39,1,11,6,0,2,2,0,1,0,0,48,41,1
47,3,6,8,1,8,3,0,0,0,0,37,0,0
37,4,5,2,1,1,3,0,0,0,0,39,0,0
17,5,7,11,0,5,0,0,0,0,0,29,0,1
24,3,14,15,5,5,3,0,0,0,0,31,0,0
24,1,5,8,1,9,3,0,1,0,0,11,0,1
26,8,19,3,2,14,5,4,0,0,0,24,0,0
30,0,7,8,1,8,5,4,0,0,0,39,0,0
19,0,14,2,0,10,2,4,1,7,0,49,7,1
11,0,8,8,0,2,2,0,1,0,0,39,0,0
10,0,8,12,2,0,1,0,1,0,0,81,0,0
31,1,7,8,0,3,2,0,1,0,0,39,0,1
44,4,20,10,0,1,2,0,1,0,0,37,0,0
48,0,16,12,0,5,2,4,1,0,0,59,0,0
9,1,6,8,3,10,3,0,0,0,0,69,0,0
4,0,2,12,2,5,3,0,0,0,0,51,0,0
9,5,8,13,2,5,3,0,0,0,0,39,0,0
3,8,11,9,2,14,4,0,1,0,0,39,0,0
43,0,8,5,1,7,3,0,1,0,0,39,0,0
51,0,7,8,0,3,2,0,1,0,0,59,0,0
11,1,10,9,2,5,3,0,0,0,0,39,0,0
9,2,10,12,2,3,5,0,1,0,0,43,0,0
20,0,24,12,0,1,4,0,1,0,0,62,0,0
21,0,20,12,0,2,2,2,1,0,0,24,0,1
13,1,6,12,1,4,5,0,0,0,0,54,41,0
28,0,14,12,1,5,3,0,0,0,0,44,0,0
17,5,15,12,3,5,5,4,1,0,0,39,0,0
28,0,13,8,0,2,2,0,1,0,0,39,0,0
44,0,12,8,1,8,3,4,0,0,0,45,0,0
16,0,16,12,2,8,3,0,1,0,0,39,0,0
2,0,27,12,2,3,3,4,0,0,0,39,24,0
30,8,9,14,2,14,1,0,1,0,0,88,0,0
21,0,11,9,0,8,0,0,0,15,0,39,0,1
4,1,3,8,2,3,3,0,0,0,0,59,0,0
31,0,21,14,5,5,5,0,0,0,0,39,0,0
28,8,7,11,5,14,3,0,1,0,0,39,0,0
18,0,15,12,2,4,1,0,1,0,0,39,29,0
28,1,1,8,1,5,3,2,1,0,0,39,0,0
25,0,14,8,2,3,4,0,0,0,0,24,0,0
28,0,5,12,0,1,2,0,1,0,0,39,0,1
37,0,8,3,0,7,2,0,1,15,24,39,0,1
2,0,14,13,2,4,3,4,0,7,0,49,0,1
37,8,8,3,0,14,0,0,0,0,0,19,0,1
50,0,13,12,0,4,2,0,1,0,0,39,0,0
13,0,1,13,0,4,2,0,1,0,0,19,0,1
20,0,51,10,0,2,0,4,0,0,0,39,0,0
20,0,51,8,2,7,1,4,0,0,0,49,0,0
50,0,25,8,0,6,2,0,1,0,0,36,5,0
15,0,5,10,0,2,0,1,0,0,0,39,0,0
8,1,14,12,2,5,3,4,1,0,0,39,0,1
38,0,11,9,1,8,5,0,0,0,0,39,0,0
30,1,12,9,0,3,2,0,1,0,0,39,5,0
29,0,6,6,1,2,3,0,0,0,0,39,0,1
37,0,10,12,0,5,2,4,1,0,0,39,0,0
7,5,20,13,2,5,1,4,0,0,0,24,0,0
