age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
6,0,14,11,2,10,1,0,1,0,0,57,22,0
15,8,1,9,2,14,3,0,0,37,0,92,17,0
34,0,7,14,1,10,3,0,1,0,0,46,0,0
40,7,1,6,0,12,2,0,1,52,0,39,0,0
12,0,13,8,2,2,3,0,0,0,86,19,0,0
23,0,4,8,1,7,5,4,0,0,0,39,0,0
2,0,9,8,2,7,3,0,0,0,0,39,0,0
62,3,12,8,0,9,2,4,1,0,0,29,0,1
22,7,10,12,6,4,3,0,1,0,0,39,0,0
9,0,50,8,1,10,3,4,1,0,0,74,0,0
4,0,5,6,2,5,3,0,1,0,0,39,0,0
33,8,11,9,0,14,0,0,0,0,0,39,0,1
21,0,20,8,0,7,2,0,1,0,0,39,0,1
68,0,11,8,2,6,1,0,1,0,0,34,0,0
12,3,13,11,0,9,2,3,1,0,30,34,0,1
16,1,10,9,1,5,3,0,1,0,0,49,0,0
59,4,10,8,2,10,3,0,1,0,0,21,0,0
53,0,20,8,0,1,2,0,1,0,0,39,0,0
67,5,69,12,0,5,2,0,1,0,0,44,13,0
41,0,15,6,3,5,3,0,0,22,0,39,41,0
47,3,1,8,2,8,0,0,0,0,0,39,0,0
47,0,10,8,2,2,3,0,0,0,0,39,0,0
26,0,1,10,0,8,2,0,1,0,0,54,0,1
21,3,13,6,2,12,1,0,1,0,0,49,0,0
5,1,2,12,2,3,1,0,0,0,0,39,0,0
59,0,17,12,0,3,2,0,1,0,0,49,0,0
44,0,26,4,0,7,2,0,1,0,0,39,0,0
15,0,11,9,0,7,2,0,1,0,0,39,0,0
76,0,23,13,2,4,1,1,0,0,0,39,0,0
49,0,85,9,0,2,2,0,1,0,23,19,0,0
55,0,14,6,3,5,1,0,0,0,0,54,0,0
9,0,44,9,2,4,3,0,0,0,0,19,0,0
23,0,8,9,0,3,2,0,1,0,44,39,0,1
64,0,13,6,5,13,0,0,0,0,0,59,0,1
29,0,6,12,0,8,2,0,1,0,0,39,0,0
74,0,12,9,0,3,2,4,1,0,0,39,0,0
4,8,15,9,2,14,4,0,0,0,0,49,0,0
53,0,2,8,1,0,5,0,0,0,0,17,0,0
20,0,79,12,1,4,5,0,0,0,0,39,0,0
6,0,15,8,2,1,5,4,0,0,0,49,0,0
15,0,10,8,0,6,2,0,1,0,0,34,21,1
17,0,9,12,0,6,2,0,1,0,0,34,0,1
13,5,12,12,0,12,2,0,1,0,0,39,0,1
7,1,12,9,0,1,2,0,1,0,0,39,0,0
36,0,12,9,2,4,1,0,0,0,0,39,0,0
31,0,15,8,0,13,2,0,0,0,0,59,0,1
4,1,15,3,2,14,1,0,0,0,0,19,0,0
18,0,9,11,2,2,3,0,1,0,0,39,0,0
60,0,33,8,0,2,2,0,1,0,0,39,0,1
4,1,5,9,2,14,1,0,0,0,0,34,0,0
70,5,6,12,0,5,2,0,1,0,0,30,0,1
37,0,5,12,2,8,3,4,1,0,0,29,0,0
10,0,8,9,2,6,4,0,0,0,0,39,0,0
42,0,13,9,2,6,3,0,0,0,0,39,0,0
53,0,7,3,0,0,2,0,1,0,0,19,0,0
6,0,9,8,0,1,2,0,1,0,0,39,0,1
36,0,5,0,2,2,1,0,0,0,0,55,0,0
26,8,13,4,1,14,3,0,0,0,0,49,0,0
26,0,12,8,0,2,2,0,1,0,0,2,11,1
23,0,8,2,0,5,2,0,1,0,99,39,0,0
26,0,12,8,0,1,2,1,1,0,0,1,0,1
17,0,1,8,0,1,2,1,1,0,0,39,0,0
70,0,20,6,0,10,2,0,1,0,0,39,0,1
39,0,6,6,5,5,3,0,0,0,0,59,0,0
47,0,7,8,2,2,1,0,1,0,0,39,0,0
84,0,14,10,2,8,1,0,1,0,0,39,0,0
36,0,2,13,1,5,3,0,1,54,0,42,0,0
70,0,25,6,4,13,3,0,0,0,0,59,14,0
4,0,15,8,2,6,3,0,0,0,0,34,0,0
6,0,14,10,0,8,2,4,1,0,0,39,0,1
46,4,11,8,2,8,1,0,0,0,0,39,0,0
76,5,7,7,3,5,4,0,0,0,0,53,0,0
13,3,3,6,2,12,1,2,1,0,0,49,0,0
20,0,12,8,1,4,1,0,0,0,0,85,0,0
15,4,48,3,2,5,4,0,1,0,0,39,0,0
82,0,12,8,0,2,5,0,0,0,0,39,0,0
9,0,7,9,2,4,1,0,1,0,0,39,0,0
74,0,89,8,3,6,3,0,1,0,0,39,0,1
28,5,1,13,2,5,1,0,1,0,0,39,0,0
12,0,6,8,1,10,3,0,1,0,85,39,0,0
31,0,15,8,2,1,1,0,1,0,0,39,0,0
21,8,6,8,2,14,1,0,1,0,0,39,0,0
17,0,16,1,0,2,2,0,1,0,0,60,0,1
33,0,11,9,1,3,3,0,0,0,0,39,41,0
84,0,9,8,0,2,0,0,0,0,0,63,0,0
19,0,12,8,0,10,2,0,1,0,0,49,0,0
22,0,10,9,1,3,3,0,1,0,0,39,3,0
22,0,85,6,0,0,2,0,1,0,0,39,0,0
48,0,75,9,2,5,3,0,1,0,0,39,0,0
34,1,5,9,0,4,2,0,1,96,0,49,0,0
23,0,40,9,1,3,3,0,1,0,21,49,0,0
0,0,12,12,2,4,1,0,1,0,0,19,0,0
70,0,5,5,1,1,3,1,1,0,0,49,19,0
74,0,1,6,0,10,2,0,1,0,0,39,0,1
62,1,8,13,2,4,5,0,1,0,0,39,0,0
15,0,16,8,2,5,1,0,1,0,0,14,0,0
21,0,6,9,3,3,5,0,0,0,0,25,0,0
5,3,74,10,2,8,3,0,0,0,0,83,0,0
5,0,80,8,2,7,1,0,0,0,0,39,0,0
4,0,80,8,2,2,3,0,0,0,0,86,0,0
14,1,56,4,0,3,2,4,1,0,0,76,0,1
65,0,7,8,0,3,0,0,0,0,0,39,0,1
17,0,1,13,4,4,2,0,1,0,0,39,0,1
13,0,1,9,2,8,3,0,0,79,0,54,0,0
20,1,51,13,0,4,2,0,1,0,0,39,0,0
13,2,3,13,4,4,0,0,0,0,0,39,0,0
12,1,13,10,2,14,3,0,1,0,0,33,0,0
19,5,11,11,1,4,3,0,1,0,0,39,0,0
4,0,9,9,2,6,3,0,1,0,0,39,0,0
18,0,13,9,3,6,4,0,1,0,0,37,0,0
22,0,40,4,0,7,2,0,1,0,0,39,0,0
3,0,7,8,0,2,0,0,0,0,0,49,0,0
23,0,4,8,0,1,0,0,0,0,96,39,0,0
4,0,15,5,2,3,1,0,1,0,0,42,0,0
82,2,33,9,2,5,3,0,0,0,0,39,0,0
62,0,10,8,0,1,2,0,1,0,0,39,0,0
9,5,2,1,2,2,1,4,1,0,0,39,0,0
43,8,12,10,4,14,3,0,0,0,0,54,0,0
17,1,16,12,5,5,3,0,0,0,0,47,0,0
74,1,14,8,2,9,3,0,1,0,0,44,0,0
25,5,6,9,2,8,4,0,1,0,0,39,0,0
17,0,1,12,5,3,3,0,0,0,0,49,0,0
26,3,14,8,0,12,2,0,1,0,0,49,0,0
8,0,11,9,2,1,3,0,1,0,0,39,0,0
83,3,11,12,1,9,3,0,1,0,0,39,0,0
20,4,16,12,0,10,4,0,1,60,0,39,0,0
55,0,12,3,0,1,2,4,1,0,0,49,0,1
78,0,1,8,2,1,3,0,1,0,0,93,31,0
33,0,16,9,0,3,2,0,1,0,0,67,0,0
39,4,2,12,5,5,5,0,0,0,0,39,0,0
77,1,1,9,2,1,1,0,1,0,0,39,0,0
31,0,1,11,2,8,3,0,0,0,0,39,0,0
19,0,12,9,1,0,3,0,1,0,0,39,0,0
17,0,16,5,5,2,3,0,0,0,0,63,0,0
27,8,9,9,1,14,5,0,0,0,0,41,0,0
52,1,23,9,2,3,4,0,0,0,0,54,0,0
25,0,17,12,2,1,1,0,1,0,0,39,0,0
73,1,4,8,0,1,2,0,1,0,0,49,0,0
23,0,12,8,0,1,2,0,1,0,0,61,0,0
70,0,46,9,6,1,5,0,1,0,0,39,0,0
45,4,23,9,2,8,1,0,1,0,0,39,0,0
13,0,12,8,0,1,2,0,1,55,0,39,0,1
16,0,10,9,0,8,2,0,1,0,0,67,0,1
81,0,12,9,2,3,3,0,0,0,0,39,0,0
21,0,5,12,0,3,2,0,1,0,0,96,0,1
30,0,11,8,0,1,2,0,1,0,0,39,0,0
71,0,11,10,1,8,3,0,1,0,0,82,0,0
74,0,8,8,2,1,3,0,1,0,96,49,0,0
11,1,10,8,0,4,2,0,1,0,0,19,0,0
5,0,52,8,2,6,3,0,1,0,0,44,22,1
45,0,48,8,0,11,3,4,0,6,0,39,0,0
30,0,14,8,2,4,3,4,1,0,0,39,15,0
25,0,8,8,0,6,2,0,1,0,0,39,3,1
9,0,7,9,2,2,3,4,0,0,0,86,0,0
34,0,11,12,2,4,1,1,1,0,0,39,0,0
23,0,24,12,2,8,3,0,0,0,93,39,0,0
20,0,75,6,0,1,2,0,1,0,0,59,0,1
51,0,82,4,1,2,3,4,0,0,0,29,0,0
14,0,4,9,2,2,4,0,0,0,23,88,0,0
19,0,12,10,1,3,3,0,0,0,0,54,0,0
26,0,8,12,3,3,3,0,0,0,0,39,0,0
21,0,13,8,2,2,1,0,0,0,0,1,0,0
38,0,9,8,0,2,2,0,1,0,0,39,0,0
26,0,8,8,0,4,2,0,1,0,0,49,0,1
29,0,13,8,0,8,2,2,1,0,0,54,0,1
15,4,16,13,0,5,3,0,0,0,0,39,31,0
13,0,12,6,0,11,5,0,0,0,0,59,0,0
71,0,4,9,0,1,2,0,1,0,0,34,0,0
