age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
9,8,6,9,2,14,1,0,1,0,0,14,0,0
1,3,26,11,2,0,1,0,1,0,0,49,20,0
30,0,11,12,4,5,3,0,1,0,0,64,0,0
9,0,29,2,2,10,5,4,1,0,0,31,0,0
17,0,12,9,1,2,3,4,1,0,0,39,0,0
1,0,5,5,2,6,1,0,0,0,0,56,0,0
14,3,26,5,2,3,3,0,1,0,0,39,0,0
32,0,9,13,0,3,2,0,1,0,0,37,0,0
7,0,13,8,2,7,5,0,1,0,0,39,0,0
8,0,10,11,2,8,1,0,0,0,0,39,0,0
14,0,12,8,0,8,0,0,0,0,0,37,0,0
10,0,12,9,2,5,1,0,0,0,0,34,0,0
16,0,17,9,0,10,2,0,1,0,0,39,0,0
60,0,6,8,4,1,5,0,0,0,0,39,0,0
37,0,33,6,0,6,2,1,1,0,0,39,7,0
21,0,22,8,0,4,2,0,1,0,0,44,5,1
21,4,13,10,0,12,2,0,1,0,0,77,0,1
57,3,2,8,0,8,0,4,0,0,28,43,0,0
11,4,9,3,2,5,1,0,1,0,0,49,0,0
34,0,18,12,2,5,2,0,1,0,0,35,20,1
33,7,24,8,1,0,5,0,0,0,0,39,0,0
14,5,14,5,2,2,3,0,0,7,0,11,0,0
38,0,11,8,0,3,2,0,1,0,0,39,0,0
24,0,10,8,0,1,2,0,1,0,0,59,0,1
25,0,13,12,0,0,2,0,1,0,0,19,0,1
4,4,12,11,2,2,1,0,1,0,0,14,0,0
13,0,11,8,0,5,0,0,0,0,0,49,0,0
26,4,24,9,3,5,3,0,1,0,0,39,0,0
7,0,7,8,2,2,3,0,0,0,0,39,41,0
24,0,0,8,4,4,5,2,1,0,0,49,0,0
31,5,6,8,1,5,5,0,0,0,0,49,0,1
37,1,11,9,0,3,2,0,1,0,0,89,0,1
1,0,5,8,2,3,1,0,0,0,0,48,0,0
2,0,10,12,2,4,1,0,1,0,0,10,0,0
16,5,7,8,0,2,2,0,1,0,0,39,0,0
46,0,2,8,4,5,5,0,0,0,0,43,0,0
26,0,11,12,0,8,2,0,1,0,0,39,0,1
13,0,3,4,2,11,3,0,0,0,0,37,0,0
21,3,1,12,0,8,0,0,0,0,0,39,0,0
7,0,22,8,2,3,4,4,0,0,0,49,0,0
13,0,4,14,3,5,3,0,0,0,0,34,0,0
18,1,12,8,2,1,1,0,1,0,0,39,0,0
27,0,14,14,2,5,1,0,1,0,0,39,0,0
13,4,6,9,0,12,2,4,1,0,0,61,0,0
2,5,6,13,2,5,1,3,1,0,0,49,16,0
28,4,11,14,0,5,2,0,1,0,0,39,0,0
4,0,1,9,2,4,3,0,1,0,0,39,0,0
20,3,8,9,0,12,2,4,1,4,0,39,0,1
25,0,8,15,1,5,5,0,0,0,0,49,0,0
7,0,8,9,2,8,1,4,1,0,34,59,0,0
8,0,9,8,2,0,1,0,1,0,0,49,0,0
43,0,10,12,1,8,1,0,1,0,0,39,0,0
2,0,6,12,2,2,3,0,0,0,34,35,0,0
17,0,11,8,1,10,3,4,1,0,0,39,0,0
25,0,13,8,0,7,2,0,1,0,0,39,0,1
25,1,7,8,0,10,2,0,1,4,0,39,20,1
37,0,10,3,2,1,1,0,1,0,0,39,20,0
13,0,4,8,2,6,3,0,0,0,0,39,0,0
14,0,6,9,0,8,2,0,1,0,0,7,0,0
54,0,7,8,0,1,2,0,1,0,0,54,0,0
29,0,21,9,0,3,2,4,1,5,0,55,0,0
8,1,7,9,2,3,3,0,1,0,0,39,0,0
5,8,16,9,2,14,1,0,0,0,0,27,0,0
14,8,10,9,2,14,1,0,0,0,0,39,0,0
22,4,4,12,0,5,2,0,1,0,0,36,0,1
24,5,10,9,1,5,3,0,0,0,0,39,0,0
9,0,11,9,2,8,1,0,0,0,0,39,0,0
29,4,20,12,1,5,3,0,0,0,0,47,0,0
30,0,20,12,0,4,2,4,1,0,0,37,0,1
9,4,9,14,0,5,2,0,1,0,0,49,0,1
15,0,18,12,1,0,5,0,0,0,0,39,0,0
48,0,8,12,3,8,5,1,0,0,0,35,5,1
1,0,10,9,2,8,1,0,0,0,0,39,0,0
23,0,17,8,2,2,1,4,0,0,0,23,0,0
14,0,12,11,2,2,1,0,1,2,0,34,0,0
40,0,9,8,0,6,2,0,1,0,0,39,0,0
34,0,9,12,0,12,2,4,1,0,0,39,0,0
10,5,6,8,2,1,1,0,1,0,0,54,0,0
56,0,3,15,3,3,5,4,0,0,0,44,0,0
48,0,10,12,0,0,0,0,0,0,0,39,0,0
37,0,10,8,0,1,2,0,1,0,0,39,0,0
49,5,16,13,0,5,2,4,1,0,0,39,0,0
9,0,4,10,2,1,1,0,0,0,0,39,20,0
28,1,12,8,0,1,2,0,1,0,0,39,0,1
6,4,11,12,2,13,4,4,0,0,0,44,18,0
15,0,10,12,1,3,5,0,0,0,0,19,0,0
22,0,25,8,2,8,5,1,0,0,0,39,0,0
34,0,6,11,0,7,2,0,1,0,0,39,0,1
8,0,4,6,2,11,3,0,0,0,0,37,0,0
33,5,26,8,2,2,3,0,0,0,0,23,0,0
29,3,11,9,0,5,2,0,1,0,0,39,0,1
24,0,10,8,2,1,3,0,0,0,0,39,0,0
7,0,15,6,0,10,2,0,1,0,0,51,0,0
14,0,10,8,2,3,1,1,1,0,0,39,0,0
29,4,10,12,2,8,1,0,1,0,0,29,0,0
4,0,10,8,2,8,1,0,1,0,0,44,0,0
7,0,3,11,2,3,1,0,1,0,0,42,0,0
11,0,9,8,2,2,3,0,0,0,0,39,12,0
12,0,11,8,2,7,1,0,0,0,0,39,0,0
30,0,3,8,0,10,2,0,1,0,0,39,0,0
23,0,10,8,0,7,2,0,1,0,0,39,0,1
34,0,9,8,0,1,2,0,1,0,0,39,0,1
17,0,7,6,2,2,4,0,1,0,0,39,0,0
5,0,1,10,2,0,1,0,1,0,0,39,20,0
7,0,15,8,2,10,1,0,1,0,0,69,0,0
10,0,3,9,0,4,2,0,1,0,0,39,0,1
31,0,6,12,0,4,2,0,1,0,0,44,0,1
5,0,8,9,2,3,1,0,1,0,0,34,0,0
25,1,4,10,0,3,2,0,1,0,0,24,0,0
10,0,7,9,2,6,3,0,1,0,0,39,0,0
14,0,10,6,1,2,5,0,1,0,0,39,0,0
1,0,18,9,2,6,1,0,0,0,0,39,0,0
15,4,11,9,0,4,2,0,1,0,0,39,0,0
17,0,7,9,0,3,2,0,1,7,0,39,0,1
24,0,12,8,0,3,2,0,1,0,0,39,0,0
18,0,21,9,3,8,5,0,1,0,0,39,0,0
26,2,23,9,0,3,0,4,0,0,0,39,41,0
2,0,0,4,0,7,2,3,1,0,0,39,15,1
